Name,Team,BB%,O-Swing% (sc),NameASCII,PlayerId,MLBAMID
"Javier Báez","DET",0.022883295,0.44792974,"Javier Baez",12979,595879
"Edmundo Sosa","PHI",0.038314176,0.44791667,"Edmundo Sosa",17022,624641
"Jake Mangum","TBR",0.044392523,0.44545455,"Jake Mangum",26202,663968
"Yainer Diaz","HOU",0.035273368,0.43762376,"Yainer Diaz",23003,673237
"Michael Harris II","ATL",0.024960998,0.42590867,"Michael Harris II",25931,671739
"Pete Crow-Armstrong","CHC",0.044822256,0.41873964,"Pete Crow-Armstrong",27769,691718
"Lenyn Sosa","CHW",0.033088235,0.41601563,"Lenyn Sosa",22896,672820
"Ceddanne Rafaela","BOS",0.04770017,0.41420118,"Ceddanne Rafaela",24262,678882
"Nick Castellanos","PHI",0.054329371,0.40573414,"Nick Castellanos",11737,592206
"Jac Caglianone","KCR",0.077586206,0.40215054,"Jac Caglianone",35041,695506
"Jake Burger","TEX",0.031914893,0.40185471,"Jake Burger",22275,669394
"Angel Martínez","CLE",0.047520661,0.40114943,"Angel Martinez",26540,682657
"Salvador Perez","KCR",0.043681747,0.40068493,"Salvador Perez",7304,521692
"Ezequiel Tovar","COL",0.053846153,0.39918809,"Ezequiel Tovar",24064,678662
"Dominic Canzone","SEA",0.074626865,0.38387716,"Dominic Canzone",26438,686527
"Ryan Mountcastle","BAL",0.042016806,0.38341158,"Ryan Mountcastle",18373,663624
"Jackson Merrill","SDP",0.068322981,0.38333333,"Jackson Merrill",29490,701538
"Jose Altuve","HOU",0.084097859,0.38145161,"Jose Altuve",5417,514888
"Mickey Moniak","COL",0.047722342,0.37855297,"Mickey Moniak",19956,666160
"Luis García Jr.","WSN",0.051330798,0.37407014,"Luis Garcia Jr.",20391,671277
"Gabriel Arias","CLE",0.05732484,0.37104072,"Gabriel Arias",22563,672356
"Josh Lowe","TBR",0.075862068,0.3690205,"Josh Lowe",19953,666139
"Ernie Clement","TOR",0.045918367,0.36824697,"Ernie Clement",20352,676391
"Alek Thomas","ARI",0.044776119,0.36610608,"Alek Thomas",23792,677950
"Josh Naylor","- - -",0.079470198,0.36597428,"Josh Naylor",18839,647304
"Brady House","WSN",0.02919708,0.36547085,"Brady House",29993,691781
"Hunter Goodman","COL",0.056994818,0.36237257,"Hunter Goodman",29715,696100
"Ezequiel Duran","TEX",0.03652968,0.36103896,"Ezequiel Duran",23733,677649
"Jackson Chourio","MIL",0.050933786,0.36046512,"Jackson Chourio",28806,694192
"Bryce Harper","PHI",0.120689655,0.35967742,"Bryce Harper",11579,547180
"Drew Waters","KCR",0.05022831,0.35789474,"Drew Waters",20505,671221
"Paul DeJong","WSN",0.052884615,0.35616438,"Paul DeJong",18015,657557
"Abraham Toro","BOS",0.049295774,0.3559633,"Abraham Toro",19844,647351
"Julio Rodríguez","SEA",0.06197183,0.35425268,"Julio Rodriguez",23697,677594
"Jeremy Peña","HOU",0.064456721,0.35412027,"Jeremy Pena",21636,665161
"Michael Massey","KCR",0.032490974,0.35390947,"Michael Massey",27684,686681
"Jose Iglesias","SDP",0.069970845,0.35313002,"Jose Iglesias",10231,578428
"Thomas Saggese","STL",0.054237288,0.35241503,"Thomas Saggese",27883,695336
"Pedro Pagés","STL",0.048843187,0.35193133,"Pedro Pages",25782,686780
"Trevor Story","BOS",0.050458715,0.35177182,"Trevor Story",12564,596115
"Miguel Andujar","- - -",0.049853372,0.35175879,"Miguel Andujar",15878,609280
"Adolis García","TEX",0.051188299,0.35105408,"Adolis Garcia",19287,666969
"Ozzie Albies","ATL",0.08245877,0.34956105,"Ozzie Albies",16556,645277
"Kerry Carpenter","DET",0.038793103,0.34818288,"Kerry Carpenter",25961,681481
"Austin Hays","CIN",0.069711538,0.3475,"Austin Hays",19363,669720
"Romy Gonzalez","BOS",0.052785923,0.34533552,"Romy Gonzalez",21562,663853
"Noelvi Marte","CIN",0.044444444,0.34428795,"Noelvi Marte",26517,682622
"Keibert Ruiz","WSN",0.029962546,0.34398034,"Keibert Ruiz",19610,660688
"Andrés Giménez","TOR",0.067750677,0.34375,"Andres Gimenez",19950,665926
"Lourdes Gurriel Jr.","ARI",0.056776556,0.34318902,"Lourdes Gurriel Jr.",19238,666971
"Luis Arraez","SDP",0.05037037,0.34200743,"Luis Arraez",18568,650333
"Mauricio Dubón","HOU",0.060301507,0.34138486,"Mauricio Dubon",16530,643289
"Nolan Arenado","STL",0.064220183,0.3408805,"Nolan Arenado",9777,571448
"Josh Jung","TEX",0.052837573,0.3388601,"Josh Jung",26299,673962
"Brooks Baldwin","CHW",0.06402439,0.33884298,"Brooks Baldwin",31394,681460
"Bo Bichette","TOR",0.063694267,0.33837934,"Bo Bichette",19612,666182
"Henry Davis","PIT",0.06360424,0.33714286,"Henry Davis",29617,680779
"Jake McCarthy","ARI",0.045045045,0.33574879,"Jake McCarthy",21622,664983
"CJ Abrams","WSN",0.058267716,0.33457596,"CJ Abrams",25768,682928
"Harrison Bader","- - -",0.077844311,0.33333333,"Harrison Bader",18030,664056
"Jordan Walker","STL",0.073232323,0.33333333,"Jordan Walker",27475,691023
"Isiah Kiner-Falefa","- - -",0.037037037,0.32972973,"Isiah Kiner-Falefa",16512,643396
"Wenceel Pérez","DET",0.080939947,0.32944228,"Wenceel Perez",22857,672761
"Dominic Smith","SFG",0.066666666,0.32920792,"Dominic Smith",15653,642086
"Orlando Arcia","- - -",0.046728971,0.32869081,"Orlando Arcia",13185,606115
"Joey Ortiz","MIL",0.053359683,0.32793017,"Joey Ortiz",25493,687401
"Anthony Santander","TOR",0.113122171,0.32716049,"Anthony Santander",14551,623993
"Max Muncy","ATH",0.045454545,0.32642487,"Max Muncy",29779,691777
"Brandon Lowe","TBR",0.068716094,0.32539683,"Brandon Lowe",18882,664040
"Tyler Fitzgerald","SFG",0.069958847,0.32516704,"Tyler Fitzgerald",26208,666149
"Jose Trevino","CIN",0.049668874,0.32494759,"Jose Trevino",16725,624431
"Willi Castro","- - -",0.088105726,0.32478632,"Willi Castro",17338,650489
"Ben Williamson","SEA",0.050847457,0.32472325,"Ben Williamson",33197,810938
"Travis d'Arnaud","LAA",0.056277056,0.32446809,"Travis d'Arnaud",7739,518595
"Riley Greene","DET",0.070229007,0.32335329,"Riley Greene",25976,682985
"Randal Grichuk","- - -",0.058020477,0.32183908,"Randal Grichuk",10243,545341
"Luis Robert Jr.","CHW",0.092807424,0.32100396,"Luis Robert Jr.",20043,673357
"Andy Pages","LAD",0.046474358,0.31988743,"Andy Pages",24816,681624
"Casey Schmitt","SFG",0.077586206,0.3196347,"Casey Schmitt",27577,669477
"Rowdy Tellez","- - -",0.054487179,0.31914894,"Rowdy Tellez",15679,642133
"Nico Hoerner","CHC",0.060092449,0.31879845,"Nico Hoerner",21479,663538
"Cal Raleigh","SEA",0.137588652,0.31873315,"Cal Raleigh",21534,663728
"Brayan Rocchio","CLE",0.057441253,0.3179792,"Brayan Rocchio",23690,677587
"Brooks Lee","MIN",0.058823529,0.3177665,"Brooks Lee",31595,686797
"Alexander Canario","PIT",0.072649572,0.31756757,"Alexander Canario",22842,672744
"Jo Adell","LAA",0.057591623,0.31727273,"Jo Adell",20220,666176
"Tyrone Taylor","NYM",0.046920821,0.31702899,"Tyrone Taylor",13675,621438
"Corbin Carroll","ARI",0.10436137,0.31697506,"Corbin Carroll",25878,682998
"Shea Langeliers","ATH",0.068833652,0.31607335,"Shea Langeliers",25816,669127
"Jarren Duran","BOS",0.086206896,0.31599082,"Jarren Duran",24617,680776
"Connor Norby","MIA",0.053412462,0.31578947,"Connor Norby",29592,681393
"Luis Rengifo","LAA",0.060998151,0.3157339,"Luis Rengifo",19858,650859
"J.T. Realmuto","PHI",0.063636363,0.31491713,"J.T. Realmuto",11739,592663
"Jasson Domínguez","NYY",0.095571095,0.31405896,"Jasson Dominguez",28080,691176
"Alec Burleson","STL",0.071428571,0.31317495,"Alec Burleson",27615,676475
"Adam Frazier","- - -",0.05664488,0.31257344,"Adam Frazier",15223,624428
"Jesús Sánchez","- - -",0.084507042,0.3125,"Jesus Sanchez",19913,660821
"Nick Fortes","- - -",0.057851239,0.3125,"Nick Fortes",21538,663743
"Enrique Hernández","LAD",0.0703125,0.31212724,"Enrique Hernandez",10472,571771
"Kyle Farmer","COL",0.056666666,0.31198347,"Kyle Farmer",14813,571657
