"player_id","player_name","team","hand","first_game","last_game","pa","ab","hits","singles","doubles","triples","home_runs","walks","intentional_walks","hit_by_pitch","strikeouts","sacrifice_flies","total_bases","batted_balls","hard_hit","barrel_proxy","ground_balls","line_drives","fly_balls","popups","pulled_batted_balls","average_exit_velocity","average_launch_angle","run_value_total","run_value_opportunities","batting_average","on_base_percentage","slugging_percentage","ops","isolated_power","strikeout_rate","walk_rate","hard_hit_rate","barrel_proxy_rate","ground_ball_rate","line_drive_rate","fly_ball_rate","pull_rate","woba_estimate","run_value_per_pa","pa_reliability","bbe_reliability","sample_label","perspective","woba_method","summary_method","discipline_pitches","swing_rate","zone_rate","source_through","generated_at_utc"
"683002","Gunnar Henderson","Baltimore Orioles","L",2026-03-26,2026-08-15,555,496,109,64,21,4,20,48,1,9,124,2,198,371,168,28,164,83,99,25,180,89.8164420485175,12.4016172506739,0.822588664370705,555,0.219758064516129,0.299099099099099,0.399193548387097,0.698292647486196,0.179435483870968,0.223423423423423,0.0864864864864865,0.452830188679245,0.0754716981132075,0.442048517520216,0.223719676549865,0.266846361185984,0.485175202156334,0.302725631768953,0.00148214173760487,0.847,0.881,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",2165,0.478060046189376,0.482217090069284,"2026-08-15","2026-08-16 10:24:04 UTC"
"683737","Michael Busch","Chicago Cubs","L",2026-03-26,2026-08-15,553,470,115,79,20,2,14,68,0,11,123,4,181,349,135,31,141,75,118,15,146,87.8137535816619,14.730659025788,15.2597129812882,553,0.24468085106383,0.350813743218806,0.385106382978723,0.73592012619753,0.140425531914894,0.222423146473779,0.122965641952984,0.386819484240688,0.0888252148997135,0.404011461318052,0.214899713467049,0.33810888252149,0.418338108882521,0.32625678119349,0.027594417687682,0.847,0.875,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",2190,0.438812785388128,0.468036529680365,"2026-08-15","2026-08-16 10:24:04 UTC"
"608324","Alex Bregman","Chicago Cubs","R",2026-03-26,2026-08-15,552,480,121,81,23,1,16,59,0,8,88,5,194,396,151,19,151,93,108,44,200,88.3772151898734,17.2247474747475,0.733615498282453,552,0.252083333333333,0.340579710144928,0.404166666666667,0.744746376811594,0.152083333333333,0.159420289855072,0.106884057971014,0.381313131313131,0.047979797979798,0.381313131313131,0.234848484848485,0.272727272727273,0.505050505050505,0.32606884057971,0.00132901358384502,0.847,0.888,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",2208,0.409873188405797,0.496829710144928,"2026-08-15","2026-08-16 10:24:04 UTC"
"691718","Pete Crow-Armstrong","Chicago Cubs","L",2026-03-26,2026-08-15,548,470,130,72,24,7,27,63,2,11,148,3,249,326,158,39,104,71,116,35,161,89.1187116564417,20.7576687116564,35.2416487005563,548,0.276595744680851,0.372943327239488,0.529787234042553,0.902730561282041,0.253191489361702,0.27007299270073,0.114963503649635,0.484662576687117,0.119631901840491,0.319018404907975,0.217791411042945,0.355828220858896,0.493865030674847,0.382238532110092,0.0643095779207231,0.846,0.867,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",2193,0.494300045599635,0.450524395804834,"2026-08-15","2026-08-16 10:24:04 UTC"
"668804","Bryan Reynolds","Pittsburgh Pirates","R",2026-03-26,2026-08-15,542,460,120,74,29,2,15,72,1,8,132,2,198,329,153,36,159,77,85,8,145,90.5492401215806,7.42249240121581,18.8126656730719,542,0.260869565217391,0.3690036900369,0.430434782608696,0.799438472645596,0.169565217391304,0.243542435424354,0.132841328413284,0.465045592705167,0.109422492401216,0.483282674772036,0.234042553191489,0.258358662613982,0.440729483282675,0.349537892791128,0.0347097152639703,0.844,0.868,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",2138,0.45977549111319,0.477081384471469,"2026-08-15","2026-08-16 10:24:04 UTC"
"671056","Iván Herrera","St. Louis Cardinals","R",2026-03-26,2026-08-15,540,459,114,77,23,1,13,51,0,27,94,3,178,368,151,21,182,84,67,35,171,89.4071428571429,9.19452054794521,10.7702006375694,540,0.248366013071895,0.355555555555556,0.387799564270152,0.743355119825708,0.139433551198257,0.174074074074074,0.0944444444444444,0.410326086956522,0.0570652173913043,0.494565217391304,0.228260869565217,0.182065217391304,0.464673913043478,0.330740740740741,0.0199448159954989,0.844,0.88,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",2136,0.448033707865169,0.474250936329588,"2026-08-15","2026-08-16 10:24:04 UTC"
"805808","Kevin McGonigle","Detroit Tigers","L",2026-03-26,2026-08-15,539,459,129,93,21,3,12,75,0,3,74,2,192,383,140,25,125,89,136,33,163,87.9404699738903,20.2584856396867,25.4397643607555,539,0.281045751633987,0.38404452690167,0.418300653594771,0.802345180496441,0.137254901960784,0.137291280148423,0.139146567717996,0.365535248041775,0.0652741514360313,0.326370757180157,0.232375979112272,0.35509138381201,0.425587467362924,0.353599257884972,0.0471980785913831,0.844,0.885,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",2157,0.428372739916551,0.487250811312007,"2026-08-15","2026-08-16 10:24:04 UTC"
"621493","Taylor Ward","Seattle Mariners","R",2026-03-26,2026-08-12,537,443,106,78,20,1,7,85,0,6,109,3,149,336,129,16,132,90,90,24,135,88.8979041916168,14.4191616766467,0.0901229878989757,537,0.239277652370203,0.366852886405959,0.336343115124153,0.703196001530113,0.0970654627539503,0.202979515828678,0.15828677839851,0.383928571428571,0.0476190476190476,0.392857142857143,0.267857142857143,0.267857142857143,0.401785714285714,0.320372439478585,0.000167826793107962,0.843,0.87,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",2220,0.347297297297297,0.498198198198198,"2026-08-15","2026-08-16 10:24:04 UTC"
"687263","Zach Neto","Los Angeles Angels","R",2026-03-26,2026-08-15,535,475,106,60,23,3,20,51,0,8,171,1,195,305,121,35,96,64,112,33,148,88.8917763157895,22.9309210526316,-0.546198276214764,535,0.223157894736842,0.308411214953271,0.410526315789474,0.718937530742745,0.187368421052632,0.319626168224299,0.0953271028037383,0.39672131147541,0.114754098360656,0.314754098360656,0.20983606557377,0.367213114754098,0.485245901639344,0.312429906542056,-0.00102093135741077,0.843,0.859,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",2143,0.514699020065329,0.434437704153056,"2026-08-15","2026-08-16 10:24:04 UTC"
"665487","Fernando Tatis Jr.","San Diego Padres","R",2026-03-26,2026-08-15,534,473,132,92,25,2,13,50,2,5,101,5,200,378,199,43,194,90,78,16,169,91.8222222222222,5.33333333333333,17.3522277163173,534,0.27906976744186,0.350844277673546,0.422832980972516,0.773677258646062,0.143763213530655,0.189138576779026,0.0936329588014981,0.526455026455027,0.113756613756614,0.513227513227513,0.238095238095238,0.206349206349206,0.447089947089947,0.335084745762712,0.0324948084575231,0.842,0.883,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1",1927,0.458744161909704,0.471198754540737,"2026-08-15","2026-08-16 10:24:04 UTC"
