"game_pk","game_date","home_team","home_runs","raw_home_expected_runs","home_expected_runs","away_team","away_runs","raw_away_expected_runs","away_expected_runs","away_elo_pre","home_elo_pre","elo_home_win_probability","home_win_probability","raw_home_win_probability","score_logit","elo_diff_100","fitted_home_win_probability","actual_home_win","projected_home_win","winner_correct","absolute_total_error","model_version","cutoff_date"
"822708",2026-07-12,"Washington Nationals",3,6.15071312615955,4.77613813272141,"New York Yankees",5,4.30194805194805,4.47681970480763,1499.50614447606,1493.9210024771,0.526476322851488,0.538658004165631,0.714648481622614,0.154941244477101,-0.0558514199896308,0.541131151123655,0,1,FALSE,1.25295783752903,"pregame_rolling_score_calibrator_v1",2026-06-26
"822709",2026-07-10,"Washington Nationals",3,7.13601576994434,4.91041616655729,"New York Yankees",5,4.23005565862709,4.46276334091387,1476.5055283418,1516.92161861135,0.591654404119944,0.557354191651579,0.804892118218845,0.230431008925126,0.40416090269553,0.554524474549611,0,1,FALSE,1.37317950747116,"pregame_rolling_score_calibrator_v1",2026-06-26
"822710",2026-07-08,"Washington Nationals",8,6.75092764378479,4.85984754356276,"Houston Astros",2,7.3469387755102,4.94701661784256,1524.64477672894,1507.10761252656,0.509299695760405,0.489041004230135,0.437486880918679,-0.0438430046814984,-0.175371642023799,0.517401933064591,1,0,FALSE,0.193135838594685,"pregame_rolling_score_calibrator_v1",2026-06-26
"822711",2026-07-11,"Washington Nationals",2,6.76756725417439,4.86208050553872,"New York Yankees",4,4.40630797773655,4.49688790649043,1488.3386164242,1505.08853052895,0.55837640259296,0.546873555972619,0.758715361991757,0.188046404178273,0.167499141047551,0.547244299936503,0,1,FALSE,3.35896841202915,"pregame_rolling_score_calibrator_v1",2026-06-26
"822712",2026-07-06,"Washington Nationals",12,5.22008348794063,4.63214268316277,"Houston Astros",11,5.19944341372913,4.63794201359272,1523.5918786449,1508.1605106106,0.512328753135913,0.499250588217858,0.502519716654266,-0.00299764937328232,-0.154313680342941,0.522249966506808,1,0,FALSE,13.7299153032445,"pregame_rolling_score_calibrator_v1",2026-06-26
"822713",2026-07-07,"Washington Nationals",3,6.93158627087198,4.88385549526792,"Houston Astros",6,6.54452690166976,4.84139753915009,1513.83845370762,1517.91393554789,0.540316151066235,0.505360081482577,0.541596115107127,0.0214411473079005,0.040754818402695,0.527112186708947,0,1,FALSE,0.725253034418012,"pregame_rolling_score_calibrator_v1",2026-06-26
"822714",2026-07-03,"Washington Nationals",9,5.09885204081633,4.61187638576856,"Pittsburgh Pirates",5,6.60366419294991,4.84953104048023,1499.22602514166,1522.52370817113,0.567649451107345,0.469619770410276,0.331423651883972,-0.121670795487124,0.232976830294674,0.512992884705785,1,0,FALSE,4.53859257375121,"pregame_rolling_score_calibrator_v1",2026-06-26
"822715",2026-07-05,"Washington Nationals",5,5.73828849721707,4.71467920929573,"Pittsburgh Pirates",11,6.46567717996289,4.83045936201584,1502.41698654587,1519.33274676693,0.558611807816126,0.485252610095665,0.418341428926001,-0.0590066743840747,0.169157602210594,0.519398394303686,0,0,TRUE,6.45486142868842,"pregame_rolling_score_calibrator_v1",2026-06-26
"822716",2026-07-04,"Washington Nationals",1,6.07583487940631,4.76523423429763,"Pittsburgh Pirates",7,5.96938775510204,4.7590067672004,1490.57901416381,1531.17071914898,0.591898619102855,0.500794229902277,0.512105104283694,0.00317692228111691,0.405917049851737,0.528976754958991,0,1,FALSE,1.52424100149803,"pregame_rolling_score_calibrator_v1",2026-06-26
"822786",2026-07-19,"Toronto Blue Jays",0,3.08070500927644,4.19802678520825,"Chicago White Sox",3,4.82142857142857,4.57307501942997,1517.58631235602,1472.41070296902,0.469563526513602,0.450333986856141,0.270014790759903,-0.199321344457945,-0.451756093870042,0.496808408355244,0,0,TRUE,5.77110180463822,"pregame_rolling_score_calibrator_v1",2026-06-26
"822788",2026-07-20,"Toronto Blue Jays",1,4.51171150278293,4.50778657106868,"Tampa Bay Rays",7,3.76855287569573,4.36758948862608,1501.46692258313,1463.01943243875,0.479220366103515,0.518497418707806,0.600449580183779,0.0740234571100701,-0.384474901443816,0.528478203637961,0,1,FALSE,0.875376059694759,"pregame_rolling_score_calibrator_v1",2026-06-26
"822789",2026-07-17,"Toronto Blue Jays",4,3.26849489795918,4.24463568024193,"Chicago White Sox",12,4.66836734693877,4.5456282238836,1519.55860786329,1470.43840746176,0.463911987611958,0.460149231528548,0.311821132971261,-0.159741893444894,-0.491202004015352,0.500867783042891,0,0,TRUE,7.20973609587447,"pregame_rolling_score_calibrator_v1",2026-06-26
"822790",2026-07-18,"Toronto Blue Jays",1,3.203125,4.22866418633933,"Chicago White Sox",0,5.66326530612245,4.71248614293262,1528.83684761553,1461.16016770952,0.437473237024767,0.436619213493228,0.205531382512056,-0.254894301871505,-0.676766799060135,0.488085365608467,1,0,FALSE,7.94115032927195,"pregame_rolling_score_calibrator_v1",2026-06-26
