"runner_id","runner_name","opportunity_type","opportunities","attempts","successes","observed_rate","observed_success_rate","league_rate","league_success_rate","shrunk_rate","shrunk_success_rate","reliability","profile_status"
"457705","Andrew McCutchen","double_first_scores",1,1,0,0,0,0.411297440423654,0.411297440423654,0.399872511522997,0.389650206717146,0.0277777777777778,"league-shrunk"
"457705","Andrew McCutchen","first_to_second_on_out",4,4,0,0,0,0.249152344206711,0.249152344206711,0.223598257621407,0.203851917987309,0.102564102564103,"league-shrunk"
"457705","Andrew McCutchen","ground_ball_double_play",7,7,2,0.285714285714286,0.285714285714286,0.204228187919463,0.204228187919463,0.2178092042186,0.227044295302013,0.166666666666667,"league-shrunk"
"457705","Andrew McCutchen","second_to_third_on_out",3,3,3,1,1,0.47679196469335,0.47679196469335,0.518097862217559,0.551535969737157,0.0789473684210526,"league-shrunk"
"457705","Andrew McCutchen","single_first_to_third",5,5,1,0.2,0.2,0.344750558451229,0.344750558451229,0.326656738644825,0.31328304574444,0.125,"league-shrunk"
"457705","Andrew McCutchen","single_second_scores",2,2,1,0.5,0.5,0.618876080691643,0.618876080691643,0.612450346600203,0.606988472622478,0.0540540540540541,"league-shrunk"
"457705","Andrew McCutchen","steal_second",21,0,0,0,,0.064747646241704,0.88160508541915,0.040467278901065,0.88160508541915,0.375,"league-shrunk"
"457705","Andrew McCutchen","steal_third",9,0,0,0,,0.0135434186067097,0.856209150326797,0.0107731738917009,0.856209150326797,0.204545454545455,"league-shrunk"
"467793","Carlos Santana","ground_ball_double_play",2,2,1,0.5,0.5,0.204228187919463,0.204228187919463,0.22021585343733,0.233805369127517,0.0540540540540541,"league-shrunk"
"467793","Carlos Santana","steal_second",1,0,0,0,,0.064747646241704,0.88160508541915,0.0629491005127678,0.88160508541915,0.0277777777777778,"league-shrunk"
"500743","Miguel Rojas","double_first_scores",2,2,0,0,0,0.411297440423654,0.411297440423654,0.3890651463467,0.370167696381289,0.0540540540540541,"league-shrunk"
"500743","Miguel Rojas","first_to_second_on_out",16,16,5,0.3125,0.3125,0.249152344206711,0.249152344206711,0.269026118573233,0.278963005756494,0.313725490196078,"league-shrunk"
"500743","Miguel Rojas","ground_ball_double_play",29,29,9,0.310344827586207,0.310344827586207,0.204228187919463,0.204228187919463,0.252312290268456,0.269704412394688,0.453125,"player signal"
"500743","Miguel Rojas","sac_fly_scores",1,1,0,0,0,0.593089567259309,0.593089567259309,0.576614857057661,0.56187432687724,0.0277777777777778,"league-shrunk"
"500743","Miguel Rojas","second_to_third_on_out",16,16,4,0.25,0.25,0.47679196469335,0.47679196469335,0.405641544397397,0.37006633424942,0.313725490196078,"league-shrunk"
"500743","Miguel Rojas","single_first_to_third",11,11,4,0.363636363636364,0.363636363636364,0.344750558451229,0.344750558451229,0.34926672925637,0.351914139728349,0.239130434782609,"league-shrunk"
