"probability_bin","bin_lower","bin_upper","observations","mean_probability","observed_rate","calibration_gap","calibration_status"
2,0.1,0.2,2,0.1649,0.5,0.3351,"observed"
3,0.2,0.3,26,0.259992307692308,0.423076923076923,0.163084615384615,"observed"
4,0.3,0.4,98,0.356283673469388,0.479591836734694,0.123308163265306,"observed"
5,0.4,0.5,196,0.455136479591837,0.469387755102041,0.0142512755102041,"observed"
6,0.5,0.6,216,0.549562962962963,0.564814814814815,0.0152518518518518,"observed"
7,0.6,0.7,153,0.644025490196078,0.647058823529412,0.00303333333333333,"observed"
8,0.7,0.8,38,0.732626315789474,0.552631578947368,-0.179994736842105,"observed"
9,0.8,0.9,7,0.827821428571429,0.857142857142857,0.0293214285714285,"observed"
