"current_game_id","team","opponent","game_pk","game_date","recency_label","role","player_id","player_name","stat_line","performance_score","report_date","source_through","generated_at_utc"
"824545","Detroit Tigers","Chicago White Sox","824547","2026-09-18","Yesterday","Hitter","701678","Hao-Yu Lee","4 H, 1 HR, 1 2B, 3 RBI",14,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824545","Detroit Tigers","Chicago White Sox","824547","2026-09-18","Yesterday","Hitter","805808","Kevin McGonigle","2 H, 0 HR, 0 2B, 4 RBI",8,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824545","Detroit Tigers","Chicago White Sox","824547","2026-09-18","Yesterday","Hitter","682985","Riley Greene","1 H, 1 HR, 0 2B, 2 RBI",7,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824545","Detroit Tigers","Chicago White Sox","824547","2026-09-18","Yesterday","Pitcher","805427","Drew Sommers","2.0 IP, 5 K",7,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824545","Detroit Tigers","Chicago White Sox","824547","2026-09-18","Yesterday","Pitcher","689225","Beau Brieske","2.1 IP, 4 K",6.33333333333333,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824545","Chicago White Sox","Detroit Tigers","824547","2026-09-18","Yesterday","Hitter","678246","Miguel Vargas","2 H, 1 HR, 1 2B, 3 RBI",10,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824545","Chicago White Sox","Detroit Tigers","824547","2026-09-18","Yesterday","Hitter","695657","Colson Montgomery","2 H, 0 HR, 1 2B, 3 RBI",7,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824545","Chicago White Sox","Detroit Tigers","824547","2026-09-18","Yesterday","Hitter","686668","Brenton Doyle","1 H, 0 HR, 1 2B, 0 RBI",2,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824545","Chicago White Sox","Detroit Tigers","824547","2026-09-18","Yesterday","Pitcher","689818","David Sandlin","4.0 IP, 4 K",8,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824545","Chicago White Sox","Detroit Tigers","824547","2026-09-18","Yesterday","Pitcher","696146","Hagen Smith","1.0 IP, 3 K",4,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Milwaukee Brewers","Baltimore Orioles","824790","2026-09-18","Yesterday","Hitter","694192","Jackson Chourio","2 H, 1 HR, 0 2B, 3 RBI",10,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Milwaukee Brewers","Baltimore Orioles","824790","2026-09-18","Yesterday","Hitter","668930","Brice Turang","2 H, 0 HR, 0 2B, 0 RBI",4,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Milwaukee Brewers","Baltimore Orioles","824790","2026-09-18","Yesterday","Hitter","592885","Christian Yelich","1 H, 0 HR, 0 2B, 1 RBI",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Milwaukee Brewers","Baltimore Orioles","824790","2026-09-18","Yesterday","Pitcher","669160","Dustin May","2.1 IP, 4 K",6.33333333333333,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Milwaukee Brewers","Baltimore Orioles","824790","2026-09-18","Yesterday","Pitcher","682842","Abner Uribe","1.0 IP, 3 K",4,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Baltimore Orioles","Milwaukee Brewers","824790","2026-09-18","Yesterday","Hitter","624413","Pete Alonso","1 H, 1 HR, 0 2B, 3 RBI",8,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Baltimore Orioles","Milwaukee Brewers","824790","2026-09-18","Yesterday","Hitter","691723","Coby Mayo","3 H, 0 HR, 3 2B, 0 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Baltimore Orioles","Milwaukee Brewers","824790","2026-09-18","Yesterday","Hitter","683002","Gunnar Henderson","3 H, 0 HR, 0 2B, 0 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Baltimore Orioles","Milwaukee Brewers","824790","2026-09-18","Yesterday","Pitcher","700249","Cade Povich","3.2 IP, 3 K",6.66666666666667,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824788","Baltimore Orioles","Milwaukee Brewers","824790","2026-09-18","Yesterday","Pitcher","689296","Anthony Nunez","1.0 IP, 2 K",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"822921","Boston Red Sox","Tampa Bay Rays","822923","2026-09-18","Yesterday","Hitter","701350","Roman Anthony","2 H, 1 HR, 0 2B, 3 RBI",10,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"822921","Boston Red Sox","Tampa Bay Rays","822923","2026-09-18","Yesterday","Hitter","663330","Jahmai Jones","1 H, 1 HR, 0 2B, 1 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"822921","Boston Red Sox","Tampa Bay Rays","822923","2026-09-18","Yesterday","Hitter","702332","Caleb Durbin","2 H, 0 HR, 0 2B, 0 RBI",4,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"822921","Boston Red Sox","Tampa Bay Rays","822923","2026-09-18","Yesterday","Pitcher","624133","Ranger Suarez","5.2 IP, 5 K",10.6666666666667,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"822921","Boston Red Sox","Tampa Bay Rays","822923","2026-09-18","Yesterday","Pitcher","669062","Erik Miller","1.0 IP, 2 K",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"822921","Tampa Bay Rays","Boston Red Sox","822923","2026-09-18","Yesterday","Hitter","666018","Jonathan Aranda","1 H, 0 HR, 1 2B, 1 RBI",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
