"date","batted_balls","hard_hit","ground_balls","fly_balls","launch_speed_sum","launch_speed_n","launch_angle_sum","launch_angle_n","average_exit_velocity","average_launch_angle","hard_hit_rate","ground_ball_rate","fly_ball_rate","rolling_days","trend_method","source_through","generated_at_utc"
2026-03-25,49,19,23,11,4421.8,49,419,49,90.2408163265306,8.55102040816327,0.387755102040816,0.469387755102041,0.224489795918367,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-03-26,603,246,273,165,53210.2,595,7467,595,89.4289075630252,12.5495798319328,0.407960199004975,0.45273631840796,0.27363184079602,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-03-27,960,370,430,254,84282.1,951,11965,952,88.6247108307045,12.5682773109244,0.385416666666667,0.447916666666667,0.264583333333333,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-03-28,1708,660,759,438,148619.9,1683,21957,1684,88.3065359477124,13.0385985748219,0.386416861826698,0.444379391100703,0.256440281030445,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-03-29,2283,898,971,600,199299.4,2253,30876,2254,88.4595650244119,13.698314108252,0.393342093736312,0.425317564607972,0.26281208935611,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-03-30,3037,1184,1316,790,265401.2,3004,39790,3005,88.3492676431425,13.2412645590682,0.389858412907474,0.433322357589727,0.260125123477116,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-03-31,3711,1450,1593,973,324706.2,3676,48988,3677,88.3313928182807,13.3228175142779,0.390730261385071,0.429264349232013,0.262193478846672,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-04-01,4445,1750,1909,1177,389895.7,4409,58654,4410,88.4317759129054,13.3002267573696,0.393700787401575,0.429471316085489,0.264791901012373,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-04-02,4608,1816,1968,1225,404541.5,4570,61607,4571,88.5211159737418,13.4777947932619,0.394097222222222,0.427083333333333,0.265842013888889,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-04-03,5307,2096,2266,1413,466189.8,5266,71330,5267,88.5282567413597,13.5428137459654,0.394950065950631,0.426983229696627,0.266252119841718,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-04-04,6042,2391,2612,1590,530870.2,6000,79621,6001,88.4783666666667,13.2679553407765,0.395729890764647,0.43230718305197,0.263157894736842,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-04-05,6873,2740,2973,1821,604353.4,6827,90184,6828,88.5240076168156,13.2079671939074,0.398661428779281,0.432562199912702,0.264949803579223,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-04-06,7555,3033,3274,2017,665069.7,7508,99228,7509,88.581473095365,13.2145425489413,0.401455989410986,0.433355393778954,0.266975512905361,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
2026-04-07,8285,3298,3603,2207,728415.1,8234,107577,8236,88.4643065338839,13.0618018455561,0.3980687990344,0.434882317441159,0.266385033192517,14,"calendar_day_rolling_batted_ball_shape_v1","2026-08-16","2026-08-17 10:32:30 UTC"
