"pitch_type","pitch_name","pitches","average_velocity","average_horizontal_break","average_induced_vertical_break","date","rolling_days","trend_method","source_through","generated_at_utc"
"ST","Sweeper",405,83.1461728395062,-5.88320987654321,1.41827160493827,2026-03-27,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SV","Slurve",11,83.2363636363636,16.5909090909091,-3.91818181818182,2026-03-27,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"UN","Unknown",2,65.3,14.6,0.75,2026-03-27,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",1051,86.1111322549952,4.0395813510942,4.79562321598478,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",6,75.2333333333333,-8.75,-9.43333333333333,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",598,80.4250836120401,-3.00066889632107,-11.2518394648829,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",728,90.2292582417583,-1.19711538461538,8.40837912087912,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",3401,94.9069979417818,3.40970302852102,16.6577771243752,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",403,87.5769230769231,10.570223325062,2.98908188585608,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",288,82.4489583333333,-6.43402777777778,-10.9659722222222,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",1814,94.1708930540243,5.51527012127894,7.69399117971334,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SL","Slider",1436,86.0056406685237,-1.28461002785515,1.09561281337047,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"ST","Sweeper",810,83.0432098765432,-6.25530864197531,1.37259259259259,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SV","Slurve",23,83.7478260869565,3.33478260869565,-4.1695652173913,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"UN","Unknown",2,65.3,14.6,0.75,2026-03-28,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",1472,86.2254755434783,4.10489130434783,4.10013586956522,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",7,74.4285714285714,-10.2428571428571,-8.05714285714286,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",879,80.4890784982935,-4.06052332195677,-11.2118316268487,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",954,90.1577568134172,-1.15062893081761,8.29832285115304,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",4545,94.8437623762376,3.45843784378438,16.4980638063806,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",503,87.2823061630219,9.66838966202783,3.04055666003976,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",323,82.8467492260062,-6.11950464396285,-10.7959752321981,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",2423,94.1347915806851,5.53611225753199,7.48254230293025,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SL","Slider",1880,86.1345744680851,-1.38856382978723,0.95281914893617,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"ST","Sweeper",1177,82.8678844519966,-5.51809685641461,1.37128292268479,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SV","Slurve",42,83.3952380952381,-0.680952380952381,-3.9952380952381,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"UN","Unknown",2,65.3,14.6,0.75,2026-03-29,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",1964,86.3895621181263,4.56023421588595,3.90341140529532,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",7,74.4285714285714,-10.2428571428571,-8.05714285714286,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",1156,80.1837370242214,-4.77050173010381,-10.8628892733564,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"EP","Eephus",23,45.7391304347826,2.10434782608696,22.8173913043478,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FA","Fastball",11,62.6545454545455,6.39090909090909,20.8181818181818,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",1352,89.8413461538462,-1.09541420118343,8.36094674556213,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",5682,94.8269975360788,3.47175290390707,16.3723688841957,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FO","Forkball",18,85.7555555555556,7,-2.55,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",655,86.8850381679389,9.81984732824428,3.3842748091603,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",393,82.952417302799,-6.31145038167939,-10.5348600508906,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",3227,93.9700340873877,5.21902696002479,7.37852494577007,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
