scope,backtest_rows,weighted_subjects,future_games_mae,future_games_median_bias,interval_80_coverage,interval_80_mean_width,brier_250,brier_500,brier_1000,final_batting_average_mae,final_on_base_percentage_mae,final_slugging_percentage_mae,final_ops_mae,future_home_runs_per_600_pa_mae,comparable_final_home_runs_mae,rate_linked_final_home_runs_mae,future_offensive_value_mae,final_offensive_value_mae,upside_10_value_units_brier,checkpoint_games
overall,545,4321,317.403841703309,-39,0.829726915065957,992.237387178894,0.174660358472747,0.182351304372206,0.119543099593608,0.00950298858421433,0.0108688669225398,0.0200826223724349,0.027956229951857,5.46325994106293,46.3771117796806,40.9914851054554,24.521543367411,24.521543367411,0.1229075839485,
checkpoint_100,112,1512,339.804398148148,-29,0.826719576719577,1055.40178571429,0.174685704856436,0.182343939288233,0.132304848708833,0.0147017337280914,0.0164002557619331,0.0302923428442857,0.0422477074791134,5.91362301677387,43.9966931216931,42.3633847189831,27.9099565368939,27.9099565368939,0.110355872606111,100
checkpoint_250,111,1032,338.754602713178,-72,0.833333333333333,1026.20615310078,0.172329192131249,0.187828681576094,0.131008202449542,0.00869797772794007,0.0101650011864505,0.0168389636718325,0.0232223231044851,4.57290428744349,44.1138565891473,41.3283557121825,19.6603355753141,19.6603355753141,0.138269078191847,250
checkpoint_500,107,745,305.846979865772,28,0.833221476510067,980.122483221477,0.18697982153821,0.180670289761845,0.110690487497089,0.00651088330438345,0.00791068451794065,0.0165499046706234,0.0229276939247795,5.54510167850004,44.6157718120805,38.4511393151517,24.0226290289541,24.0226290289541,0.118005333016684,500
checkpoint_750,109,589,254.286078098472,-20,0.872665534804754,876.107385398981,0.169095216580423,0.183777294488791,0.0745808646920165,0.00512843867078763,0.00594426349242372,0.0105558397409367,0.0152266610304878,5.53599307517071,48.3586587436333,37.7908819001148,21.8624735424376,21.8624735424376,0.123579089056573,750
checkpoint_1000,106,443,294.56546275395,-14,0.7686230248307,872.295711060948,0.16668588561292,0.17054753561059,0.123945360450046,0.00448266551111112,0.00515186201564692,0.011399796375562,0.0155875014645781,5.76593748887375,60.1015801354402,44.05186934908,28.6555592550988,28.6555592550988,0.137313421253481,1000
