"source_row","game_pk","game_date","at_bat_index","pitch_number","play_id","inning","half_inning","is_top_inning","batting_team","fielding_team","home_team","away_team","pitcher_id","pitcher_name","pitcher_hand","batter_id","batter_name","batter_side","outs_before","outs_after","runner_on_first","runner_on_second","runner_on_third","event_type","event","event_key","description","pitch_type","pitch_name","is_in_play","is_terminal_pitch","launch_speed","launch_angle","hit_distance","hit_location","hit_coord_x","hit_coord_y","trajectory","batting_order","runs_batted_in","home_score_before","away_score_before","home_score_after","away_score_after","pitches_in_pa","is_hit","is_home_run","is_walk","is_hit_by_pitch","is_strikeout","is_at_bat","is_out","is_batted_ball","is_hard_hit","is_barrel_proxy","is_ground_ball","is_line_drive","is_fly_ball","is_popup","batted_ball_type","spray_direction","total_bases","outs_on_play","fielding_score_diff","batting_score_before","fielding_score_before","batting_score_after","fielding_score_after","batting_score_diff_before","batting_score_diff_after","runs_scored_on_play","runner_on_first_after","runner_on_second_after","runner_on_third_after","runner_on_first_before","runner_on_second_before","runner_on_third_before","base_state_before","base_state_after","is_risp_before","leader_pull_rate","leader_batted_balls","spray_method"
79436,"823073",2026-04-13,11,5,"58f0e55e-26af-3717-b04f-e3102d7725bd",2,"top",TRUE,"Cleveland Guardians","St. Louis Cardinals","St. Louis Cardinals","Cleveland Guardians","669461","Matthew Liberatore","L","681807","David Fry","R",0,1,FALSE,FALSE,FALSE,"field_out","Flyout","field_out","In play, out(s)","FF","Four-Seam Fastball",TRUE,TRUE,96.9,50,299,8,129.72,79.82,"fly_ball",,0,1,1,1,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"fly_ball","middle",0,1,0,1,1,1,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
79362,"823073",2026-04-13,26,5,"15f8d004-eeb3-325e-8aa9-a3282ba919cd",4,"top",TRUE,"Cleveland Guardians","St. Louis Cardinals","St. Louis Cardinals","Cleveland Guardians","669461","Matthew Liberatore","L","681807","David Fry","R",0,0,TRUE,TRUE,TRUE,"single","Single","single","In play, no out","FF","Four-Seam Fastball",TRUE,FALSE,105.4,8,164,7,80.54,114.18,"line_drive",,0,1,1,1,1,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"line_drive","pull",1,0,0,1,1,1,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,7,TRUE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
79295,"823073",2026-04-13,40,6,"c4ae6ced-1774-3dbe-becd-b665e2f5f9e4",5,"top",TRUE,"Cleveland Guardians","St. Louis Cardinals","St. Louis Cardinals","Cleveland Guardians","669461","Matthew Liberatore","L","681807","David Fry","R",2,3,FALSE,FALSE,FALSE,"field_out","Lineout","field_out","In play, out(s)","FF","Four-Seam Fastball",TRUE,FALSE,100.2,10,177,6,110.31,148.64,"line_drive",,0,1,4,1,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"line_drive","pull",0,1,-3,4,1,4,1,3,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5,0,TRUE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
83555,"823072",2026-04-14,46,3,"be17fd56-323b-3e84-aa24-a47807941a78",7,"top",TRUE,"Cleveland Guardians","St. Louis Cardinals","St. Louis Cardinals","Cleveland Guardians","668941","JoJo Romero","L","681807","David Fry","R",0,2,FALSE,FALSE,FALSE,"grounded_into_double_play","Grounded Into DP","grounded_into_double_play","In play, out(s)","CH","Changeup",TRUE,FALSE,98.9,2,60,6,116.34,147.63,"ground_ball",,0,2,2,2,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,2,0,2,2,2,2,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
83498,"823072",2026-04-14,59,6,"55e99d4f-0b6e-38ec-ba67-1a4c6bb12d10",8,"top",TRUE,"Cleveland Guardians","St. Louis Cardinals","St. Louis Cardinals","Cleveland Guardians","592773","Ryne Stanek","R","681807","David Fry","R",2,3,FALSE,FALSE,FALSE,"field_out","Groundout","field_out","In play, out(s)","SI","Sinker",TRUE,TRUE,90.2,-14,8,6,115.83,147.63,"ground_ball",,0,2,5,2,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,-3,5,2,5,2,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,TRUE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
104472,"824452",2026-04-19,28,2,"5a0344c4-858d-3ced-a574-618a50201629",4,"bottom",FALSE,"Cleveland Guardians","Baltimore Orioles","Cleveland Guardians","Baltimore Orioles","669432","Trevor Rogers","L","681807","David Fry","R",1,1,TRUE,FALSE,FALSE,"single","Single","single","In play, no out","ST","Sweeper",TRUE,TRUE,78.6,16,178,7,68.09,128.4,"line_drive",,0,2,0,2,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"line_drive","pull",1,0,-2,2,0,2,0,2,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
104293,"824452",2026-04-19,66,5,"a408ccbe-75b0-328c-a030-8d26e8e5ad14",8,"bottom",FALSE,"Cleveland Guardians","Baltimore Orioles","Cleveland Guardians","Baltimore Orioles","671382","Cameron Foster","R","681807","David Fry","R",0,0,TRUE,TRUE,FALSE,"single","Single","single","In play, no out","SL","Slider",TRUE,TRUE,89.8,-15,8,8,117.98,102.02,"ground_ball",,0,6,4,6,4,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","middle",1,0,-2,6,4,6,4,2,2,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,3,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
130545,"822826",2026-04-25,9,4,"5f6cb642-953a-3cc9-bdca-5ff4f5a3f800",2,"top",TRUE,"Cleveland Guardians","Toronto Blue Jays","Toronto Blue Jays","Cleveland Guardians","592332","Kevin Gausman","R","681807","David Fry","R",2,3,FALSE,FALSE,FALSE,"field_out","Flyout","field_out","In play, out(s)","FF","Four-Seam Fastball",TRUE,TRUE,78.6,36,267,9,181.82,107.85,"fly_ball",,0,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"fly_ball","opposite",0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
130374,"822826",2026-04-25,51,1,"96805647-f71f-3b5e-aa6c-d37064115cad",7,"top",TRUE,"Cleveland Guardians","Toronto Blue Jays","Toronto Blue Jays","Cleveland Guardians","592332","Kevin Gausman","R","681807","David Fry","R",1,1,FALSE,FALSE,FALSE,"home_run","Home Run","home_run","In play, run(s)","SL","Slider",TRUE,TRUE,100.8,42,359,7,34.59,85.41,"fly_ball",,1,4,1,4,2,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"fly_ball","pull",4,0,2,1,4,2,4,-3,-2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
135225,"822824",2026-04-26,27,5,"18b9bec7-b03d-3078-b0e6-e7b317015ad6",4,"top",TRUE,"Cleveland Guardians","Toronto Blue Jays","Toronto Blue Jays","Cleveland Guardians","571578","Patrick Corbin","L","681807","David Fry","R",1,2,TRUE,FALSE,FALSE,"field_out","Groundout","field_out","In play, out(s)","SI","Sinker",TRUE,TRUE,78.9,-24,4,6,110.72,157.09,"ground_ball",,0,2,0,2,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,2,0,2,0,2,-2,-2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
139761,"824446",2026-04-27,12,5,"b54f29fa-d60b-3e57-8c72-163c4a0a9cb9",2,"bottom",FALSE,"Cleveland Guardians","Tampa Bay Rays","Cleveland Guardians","Tampa Bay Rays","571927","Steven Matz","L","681807","David Fry","R",2,3,FALSE,FALSE,FALSE,"field_out","Groundout","field_out","In play, out(s)","CH","Changeup",TRUE,TRUE,92.9,-2,25,5,95.59,167.98,"ground_ball",,0,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
