"player_id","player_name","team","hand","recent_pa","recent_ops","recent_woba_estimate","recent_strikeout_rate","recent_walk_rate","recent_hard_hit_rate","recent_run_value_per_pa","recent_pa_reliability","baseline_pa","baseline_ops","baseline_woba_estimate","baseline_strikeout_rate","baseline_walk_rate","baseline_hard_hit_rate","baseline_run_value_per_pa","baseline_pa_reliability","ops_delta","woba_estimate_delta","strikeout_rate_delta","walk_rate_delta","hard_hit_rate_delta","run_value_per_pa_delta","form_score","form_score_confidence","form_label","recent_start","as_of_date","perspective","form_method","source_through","generated_at_utc"
"669456","Shane Bieber","Toronto Blue Jays","R",68,0.567460317460317,0.249117647058823,0.191176470588235,0.0735294117647059,0.4,-0.0876588262290529,0.405,64,1.15871710526316,0.47890625,0.140625,0.109375,0.541666666666667,0.0980354701124962,0.39,-0.591256787802841,-0.229788602941176,0.0505514705882353,-0.0358455882352941,-0.141666666666667,-0.185694296341549,77.5,0.405,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
"688297","Chris Roycroft","Tampa Bay Rays","R",28,0.67032967032967,0.276296296296296,0.178571428571429,0.0714285714285714,0.476190476190476,0.0070552486312089,0.219,52,1.23672883787661,0.517843137254902,0.153846153846154,0.173076923076923,0.411764705882353,0.207477642514455,0.342,-0.566399167546944,-0.241546840958606,0.0247252747252747,-0.101648351648352,0.0644257703081232,-0.200422393883246,75.8,0.219,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
"687473","Ryan Gusto","Miami Marlins","R",23,0.304347826086957,0.130434782608696,0.217391304347826,0,0.277777777777778,-0.0590078698989048,0.187,115,0.79341494301393,0.345478260869565,0.191304347826087,0.0869565217391304,0.45679012345679,0.0299370611216894,0.535,-0.489067116926973,-0.21504347826087,0.0260869565217391,-0.0869565217391304,-0.179012345679012,-0.0889449310205942,73.1,0.187,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
"701519","Travis Adams","Minnesota Twins","R",20,0.307894736842105,0.1405,0.15,0.05,0.375,-0.151001806773626,0.167,108,0.844501889043547,0.361682242990654,0.287037037037037,0.12037037037037,0.296875,0.0806363317168409,0.519,-0.536607152201442,-0.221182242990654,-0.137037037037037,-0.0703703703703704,0.078125,-0.231638138490467,71.5,0.167,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
"656849","David Peterson","Chicago Cubs","L",24,0.340579710144927,0.15375,0.166666666666667,0.0416666666666667,0.473684210526316,-0.139798063389874,0.194,384,0.804100298175414,0.34710182767624,0.182291666666667,0.0963541666666667,0.430147058823529,0.0544309467189483,0.793,-0.463520588030486,-0.19335182767624,-0.015625,-0.0546875,0.0435371517027863,-0.194229010108822,70.9,0.194,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
"678394","Brayan Bello","Boston Red Sox","R",35,0.538392857142857,0.244,0.285714285714286,0.0285714285714286,0.363636363636364,-0.123330991299878,0.259,282,0.85067502683161,0.363914590747331,0.156028368794326,0.0851063829787234,0.44131455399061,0.0518630113212095,0.738,-0.312282169688753,-0.119914590747331,0.129685916919959,-0.0565349544072948,-0.0776781903542467,-0.175194002621088,70.4,0.259,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
"682052","Jacob Lopez","Athletics","L",24,0.4,0.205833333333333,0.291666666666667,0.0833333333333333,0.384615384615385,-0.0501826480147559,0.194,257,0.89514773651396,0.382,0.163424124513619,0.132295719844358,0.30939226519337,0.0615420182037484,0.72,-0.49514773651396,-0.176166666666667,0.128242542153048,-0.0489623865110246,0.0752231194220145,-0.111724666218504,70.1,0.194,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
"669923","George Kirby","Seattle Mariners","R",21,0.34047619047619,0.158571428571429,0.285714285714286,0.0476190476190476,0.357142857142857,-0.145601212005679,0.174,456,0.746610845295056,0.322171052631579,0.214912280701754,0.0526315789473684,0.424698795180723,-0.0136965613883741,0.82,-0.406134654818865,-0.16359962406015,0.0708020050125313,-0.0050125313283208,-0.0675559380378657,-0.131904650617305,69.1,0.174,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
"681517","Kyle Leahy","St. Louis Cardinals","R",30,0.366666666666667,0.155,0.2,0,0.5,-0.119547939272629,0.231,379,0.770077025064714,0.335372340425532,0.192612137203166,0.0870712401055409,0.503759398496241,-0.0120319266930585,0.791,-0.403410358398047,-0.180372340425532,0.00738786279683379,-0.0870712401055409,-0.00375939849624063,-0.107516012579571,68.2,0.231,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
"656605","Mitch Keller","Pittsburgh Pirates","R",21,0.452380952380952,0.225714285714286,0.285714285714286,0.0952380952380952,0.25,-0.121334343338066,0.174,443,0.746109064987525,0.323431151241535,0.173814898419865,0.0790067720090293,0.425925925925926,0.0282635586012313,0.816,-0.293728112606573,-0.0977168655272492,0.111899387294421,0.0162313232290659,-0.175925925925926,-0.149597901939297,67.9,0.174,"surging",2026-07-10,2026-07-23,"pitcher","sabrhood_recent_vs_prior_zscore_v1","2026-07-23","2026-07-24 23:36:45 UTC"
