"player_id","player_name","team_id","team_name","position_abbreviation","position_type","roster_status","roster_type","is_active","is_pitcher","roster_pitcher_role","roster_verified_at","roster_method"
"676879","Aaron Ashby","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"682842","Abner Uribe","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"683734","Andrew Vaughn","158","Milwaukee Brewers","1B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"622608","Antonio Senzatela","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"666310","Bo Naylor","158","Milwaukee Brewers","C","Catcher","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"668930","Brice Turang","158","Milwaukee Brewers","2B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"694477","Chad Patrick","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"592885","Christian Yelich","158","Milwaukee Brewers","DH","Hitter","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"806198","Cooper Pratt","158","Milwaukee Brewers","SS","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"669084","DL Hall","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"666152","David Hamilton","158","Milwaukee Brewers","3B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"669160","Dustin May","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"669003","Garrett Mitchell","158","Milwaukee Brewers","CF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"668831","Garrett Stallings","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"596142","Gary Sánchez","158","Milwaukee Brewers","C","Catcher","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"694192","Jackson Chourio","158","Milwaukee Brewers","LF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"694819","Jacob Misiorowski","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"641343","Jake Bauers","158","Milwaukee Brewers","1B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"668941","JoJo Romero","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"687401","Joey Ortiz","158","Milwaukee Brewers","SS","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"690986","Kyle Harrison","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"701656","Logan Henderson","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"800325","Luis Lara","158","Milwaukee Brewers","RF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"688107","Robert Gasser","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"686217","Sal Frelick","158","Milwaukee Brewers","RF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"675660","Shane Drohan","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"656730","Trevor Megill","158","Milwaukee Brewers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"661388","William Contreras","158","Milwaukee Brewers","C","Catcher","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"669743","Alex Call","119","Los Angeles Dodgers","LF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"690976","Alex Freeland","119","Los Angeles Dodgers","2B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"681911","Alex Vesia","119","Los Angeles Dodgers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"605483","Blake Snell","119","Los Angeles Dodgers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"595014","Blake Treinen","119","Los Angeles Dodgers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"592779","Brock Stewart","119","Los Angeles Dodgers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"672613","Eliezer Alfonzo","119","Los Angeles Dodgers","C","Catcher","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"571771","Enrique Hernández","119","Los Angeles Dodgers","3B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"623465","Evan Phillips","119","Los Angeles Dodgers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"518692","Freddie Freeman","119","Los Angeles Dodgers","1B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"676439","Hunter Feduccia","119","Los Angeles Dodgers","C","Catcher","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"676263","Jack Dreyer","119","Los Angeles Dodgers","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
