"event","observations","mean_probability","observed_rate","brier_score","calibration_bias","calibration_status"
"BB",16487,0.0822864895733844,0.0843088493964942,0.0767108034693301,-0.00202235982310983,"eligible for calibration review"
"HBP",16487,0.0103337108461784,0.00952265421240978,0.0094377527661993,0.00081105663376866,"eligible for calibration review"
"K",16487,0.216747747505217,0.210468854248802,0.162027749116685,0.00627889325641506,"eligible for calibration review"
"X1B",16487,0.141996886747361,0.146357736398374,0.124977220603585,-0.00436084965101349,"eligible for calibration review"
"X2B",16487,0.0429264787954108,0.0400315400012131,0.0386259709333133,0.00289493879419769,"eligible for calibration review"
"X3B",16487,0.00395486873353191,0.0035785770607145,0.0035921678976237,0.000376291672817408,"eligible for calibration review"
"HR",16487,0.0314653071667379,0.0306908473342634,0.0298087016781293,0.000774459832474553,"eligible for calibration review"
"OUT",16487,0.470288510632178,0.475040941347729,0.246630444233668,-0.00475243071555004,"eligible for calibration review"
