"metric_id","metric_label","game_id","player_id","player_name","team","opponent","role","probability","expected_value","simulations","model_version","publication_status","metric_rank"
"batter_hr_1plus","1+ home run","824486","668709","JJ Bleday","Cincinnati Reds","Pittsburgh Pirates","hitter",0.182,0.197,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",5
"batter_hr_1plus","1+ home run","824651","642708","Amed Rosario","New York Yankees","Chicago Cubs","hitter",0.174,0.183,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",6
"batter_hr_1plus","1+ home run","824486","682829","Elly De La Cruz","Cincinnati Reds","Pittsburgh Pirates","hitter",0.163,0.17,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",7
"batter_hr_1plus","1+ home run","824486","663993","Nathaniel Lowe","Cincinnati Reds","Pittsburgh Pirates","hitter",0.1615,0.176,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",8
"batter_hr_1plus","1+ home run","824486","701398","Sal Stewart","Cincinnati Reds","Pittsburgh Pirates","hitter",0.155,0.161,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",9
"batter_hr_1plus","1+ home run","824486","553993","Eugenio Suárez","Cincinnati Reds","Pittsburgh Pirates","hitter",0.1415,0.1505,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",10
"batter_hr_1plus","1+ home run","824651","664023","Ian Happ","Chicago Cubs","New York Yankees","hitter",0.141,0.1475,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",11
"batter_hr_1plus","1+ home run","824651","621020","Dansby Swanson","Chicago Cubs","New York Yankees","hitter",0.131,0.138,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",12
"batter_hr_1plus","1+ home run","824651","691176","Jasson Domínguez","New York Yankees","Chicago Cubs","hitter",0.129,0.1355,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",13
"batter_hr_1plus","1+ home run","824651","663757","Trent Grisham","New York Yankees","Chicago Cubs","hitter",0.1145,0.119,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",14
"batter_hr_1plus","1+ home run","824651","682987","Spencer Jones","New York Yankees","Chicago Cubs","hitter",0.111,0.1175,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",15
"batter_hr_1plus","1+ home run","824486","682622","Noelvi Marte","Cincinnati Reds","Pittsburgh Pirates","hitter",0.109,0.1125,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",16
"batter_hr_1plus","1+ home run","824651","683737","Michael Busch","Chicago Cubs","New York Yankees","hitter",0.104,0.108,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",17
"batter_hr_1plus","1+ home run","824651","676609","José Caballero","New York Yankees","Chicago Cubs","hitter",0.1,0.106,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",18
"batter_hr_1plus","1+ home run","824486","663886","Tyler Stephenson","Cincinnati Reds","Pittsburgh Pirates","hitter",0.086,0.0905,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",19
"batter_hr_1plus","1+ home run","824486","680574","Matt McLain","Cincinnati Reds","Pittsburgh Pirates","hitter",0.0805,0.085,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",20
"batter_hr_1plus","1+ home run","824651","608324","Alex Bregman","Chicago Cubs","New York Yankees","hitter",0.08,0.082,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",21
"batter_hr_1plus","1+ home run","824651","665804","Miguel Amaya","Chicago Cubs","New York Yankees","hitter",0.063,0.065,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",22
"batter_hr_1plus","1+ home run","824651","645305","Ali Sánchez","New York Yankees","Chicago Cubs","hitter",0.0595,0.0615,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",23
