"catcher_id","catcher_name","team","called_pitches","called_strikes","called_strike_rate","expected_called_strike_rate","adjusted_called_strike_rate","extra_strikes","framing_logit_effect","framing_runs_estimate","framing_rate_above_expected","framing_score","reliability","model_version","source_through","generated_at_utc"
"693307","Dillon Dingler","Detroit Tigers",8390,2677,0.319070321811681,0.295761561819169,0.309441058475949,195.56049633717,0.106773258189521,24.4450620421462,0.0233087599925113,111.654379996256,0.974448315911731,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"671056","Iván Herrera","St. Louis Cardinals",9358,2953,0.315558880102586,0.295168900769639,0.307231789497112,190.809426597718,0.0939838163979441,23.8511783247148,0.020389979332947,110.194989666474,0.977030695343496,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"661388","William Contreras","Milwaukee Brewers",7942,2638,0.332158146562579,0.309669542538523,0.322785965658027,178.604493159048,0.10049065344319,22.325561644881,0.0224886040240554,111.244302012028,0.973045822102426,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"689414","Liam Hicks","Miami Marlins",5980,1953,0.326588628762542,0.299673154265357,0.315183905906075,160.954537493165,0.120853827080119,20.1193171866457,0.0269154744971848,113.457737248592,0.964516129032258,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"669224","Austin Wells","New York Yankees",5769,1870,0.324146299185301,0.296345384280175,0.312480371594967,160.38347808767,0.125314922211994,20.0479347609587,0.0278009149051256,113.900457452563,0.963265987644014,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"696100","Hunter Goodman","Colorado Rockies",7928,2415,0.304616548940464,0.288287688644485,0.297936977646073,129.45520442652,0.0762230002880194,16.181900553315,0.0163288602959788,108.164430147989,0.972999509081983,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"686948","Drake Baldwin","Atlanta Braves",7604,2328,0.306154655444503,0.289230223309543,0.299144974296746,128.693381954239,0.0787256137651645,16.0866727442798,0.0169244321349604,108.46221606748,0.971881390593047,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"592663","J.T. Realmuto","Philadelphia Phillies",6780,2158,0.318289085545723,0.299646257091299,0.310536359802569,126.398376920992,0.0846356310944675,15.799797115124,0.0186428284544237,109.321414227212,0.968571428571429,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"660688","Keibert Ruiz","Washington Nationals",5489,1772,0.322827473128074,0.300387201343238,0.313412581634711,123.174651826966,0.100688227080886,15.3968314783708,0.0224402717848363,111.220135892418,0.961464354527938,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"678218","Brandon Valenzuela","Toronto Blue Jays",4782,1473,0.308030112923463,0.283823060992038,0.297885021317196,115.758122336073,0.111231484510404,14.4697652920091,0.0242070519314247,112.103525965712,0.956017592962815,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"672515","Gabriel Moreno","Arizona Diamondbacks",5811,1767,0.304078471863707,0.28528978910157,0.296136666280101,109.181035530778,0.0871797293249266,13.6476294413472,0.0187886827621369,109.394341381068,0.963521804012602,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"605170","Victor Caratini","Minnesota Twins",4287,1385,0.323069745742944,0.297646358517752,0.312247526518091,108.990061034398,0.113150732163181,13.6237576292998,0.0254233872251921,112.711693612596,0.951187042378522,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"682626","Francisco Alvarez","New York Mets",6065,1886,0.310964550700742,0.293070896224631,0.303491814118029,108.525014397612,0.0819771825429428,13.5656267997016,0.0178936544761109,108.946827238055,0.964996022275259,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"608348","Carson Kelly","Chicago Cubs",5710,1785,0.31260945709282,0.293926660925194,0.304743295093909,106.678766117143,0.0852133854749797,13.3348457646428,0.0186827961676257,109.341398083813,0.962900505902192,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"663728","Cal Raleigh","Seattle Mariners",6050,1900,0.31404958677686,0.296881630853479,0.306819744586784,103.86613333645,0.0781395464285202,12.9832666670562,0.0171679559233801,108.58397796169,0.964912280701754,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"663743","Nick Fortes","Tampa Bay Rays",4697,1532,0.326165637641048,0.304077806606903,0.316666177747449,103.746542367379,0.0978751428302459,12.9683177959224,0.022087831034145,111.043915517072,0.955257270693512,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"676439","Hunter Feduccia remains in the game as the catcher.","Tampa Bay Rays",3985,1281,0.321455457967378,0.295549349015715,0.310372983500348,103.235844172375,0.115270564256373,12.9044805215469,0.0259061089516625,112.953054475831,0.947681331747919,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"575929","Willson Contreras","Boston Red Sox",6531,2015,0.308528556116981,0.293516673812805,0.302275408758355,98.042603328573,0.0690636094456143,12.2553254160716,0.0150118823041759,107.505941152088,0.967412235224411,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"669127","Shea Langeliers","Athletics",7450,2261,0.303489932885906,0.290352063268644,0.298080084810618,97.8771286486036,0.0611576435671251,12.2346410810754,0.0131378696172622,106.568934808631,0.971316818774446,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"668939","Adley Rutschman","Baltimore Orioles",5319,1624,0.305320548975371,0.287166476425656,0.297743729490329,96.5615118919333,0.0836956565870934,12.0701889864917,0.0181540725497149,109.077036274857,0.960281639285069,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"691740","Daniel Susac","San Francisco Giants",3428,1094,0.319136522753792,0.291223435284233,0.307114045485599,95.6860638456507,0.123948704701948,11.9607579807063,0.0279130874695597,113.95654373478,0.93969298245614,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"663886","Tyler Stephenson","Cincinnati Reds",7084,2167,0.305900621118012,0.293279347358798,0.300674133907313,89.4091033102749,0.0583639700823048,11.1761379137844,0.0126212737592144,106.310636879607,0.969879518072289,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"680779","Henry Davis","Pittsburgh Pirates",4811,1511,0.314071918520058,0.295967687319305,0.306346992334741,87.0994563068253,0.0817458082938147,10.8874320383532,0.0181042312007535,109.052115600377,0.956271119061817,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"691011","Drew Romo","Chicago White Sox",3690,1195,0.323848238482385,0.300529849696139,0.313807673187118,86.0448546212478,0.102635325407771,10.755606827656,0.023318388786246,111.659194393123,0.943734015345269,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"665804","Miguel Amaya","Chicago Cubs",3316,1069,0.322376357056695,0.297135323176413,0.311274398211332,83.6992683470158,0.110906170966458,10.462408543377,0.0252410338802822,112.620516940141,0.937782805429864,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"672386","Alejandro Kirk","Toronto Blue Jays",3499,1048,0.299514146899114,0.275822102733753,0.289367433096368,82.8984625345993,0.108979381876288,10.3623078168249,0.0236920441653613,111.846022082681,0.940844312987362,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"595978","Austin Hedges","Cleveland Guardians",4256,1351,0.317434210526316,0.298005025403202,0.309132517076989,82.6906118839727,0.0868165416527564,10.3363264854966,0.0194291851231139,109.714592561557,0.950848972296694,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"686452","Drew Millas","Washington Nationals",3352,1075,0.320704057279236,0.296245782979201,0.310080337822733,81.984135453717,0.107778273902842,10.2480169317146,0.0244582743000349,112.229137150017,0.938409854423292,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"680777","Ryan Jeffers","Minnesota Twins",4418,1367,0.309416025350838,0.29105722617792,0.301665050407244,81.1091747459508,0.0833254238135166,10.1386468432439,0.0183587991729178,109.179399586459,0.952565761103924,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"666023","Freddy Fermin","San Diego Padres",4362,1344,0.308115543328748,0.289551416420174,0.300210018424376,80.9767215751995,0.0844350691238338,10.1220901968999,0.0185641269085739,109.282063454287,0.951986032300306,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"695600","Carter Jensen","Kansas City Royals",4554,1384,0.303908651734739,0.286487206537516,0.29656483107548,79.3372614281504,0.0799548955640723,9.9171576785188,0.0174214451972223,108.710722598611,0.953917050691244,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"543877","Christian Vázquez","Houston Astros",4440,1323,0.297972972972973,0.282331621542067,0.291389257640285,69.4476003532239,0.0724235666018557,8.68095004415299,0.0156413514309063,107.820675715453,0.952789699570815,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"620443","Luis Torrens","New York Mets",3114,965,0.309890815671163,0.287748971995892,0.30027505900854,68.9497012047922,0.0988712898330549,8.61871265059903,0.0221418436752705,111.070921837635,0.934013197360528,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"521692","Salvador Perez","Kansas City Royals",5182,1582,0.305287533770745,0.29247585894812,0.299893790980356,66.3900989308414,0.058684324296906,8.29876236635518,0.0128116748226247,106.405837411312,0.959274342835987,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"669257","Will Smith","Los Angeles Dodgers",3152,1009,0.32011421319797,0.299625258921802,0.311077710687378,64.5811838784812,0.0896871320526041,8.07264798481014,0.0204889542761679,110.244477138084,0.934756820877817,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"673237","Yainer Diaz","Houston Astros",4814,1433,0.297673452430411,0.285378757527,0.292495425320036,59.1866612650198,0.0569625981045488,7.39833265812747,0.0122946949034108,106.147347451705,0.956297179181565,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"700337","Edgar Quero","Chicago White Sox",3977,1252,0.314810158410862,0.300269136391479,0.308601757534013,57.8296445710898,0.0647545007199771,7.22870557138622,0.0145410220193839,107.270511009692,0.947581605908983,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"665561","Rafael Marchán","Philadelphia Phillies",2043,625,0.305922662750857,0.279404916781348,0.293890772563998,54.1757550157063,0.115994426616605,6.77196937696329,0.0265177459695087,113.258872984754,0.902783915156871,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"682663","Agustín Ramírez","Miami Marlins",2160,684,0.316666666666667,0.294336730217963,0.306413933020908,48.2326627292005,0.0957249457582011,6.02908284115006,0.0223299364487039,111.164968224352,0.907563025210084,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"681351","Logan O'Hoppe","Los Angeles Angels",5490,1685,0.306921675774135,0.298198082219029,0.30330680500742,47.8925286175326,0.0397622599808847,5.98656607719157,0.00872359355510611,104.361796777553,0.961471103327496,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"543309","Kyle Higashioka","Texas Rangers",3406,1045,0.306811509101585,0.292901307839586,0.300823784895883,47.3781454983711,0.0622948002150915,5.92226818729639,0.0139102012619997,106.955100631,0.939327082184225,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"645305","Ali Sánchez","New York Yankees",1676,519,0.309665871121718,0.282233952952352,0.297098788572672,45.9758948518573,0.116793124582168,5.74698685648216,0.0274319181693659,113.715959084683,0.883966244725738,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"687221","Dalton Rushing","Los Angeles Dodgers",3898,1224,0.314007183170857,0.30321460924889,0.309426225487899,42.0694531478249,0.047907277980889,5.25868164347811,0.0107925739219664,105.396286960983,0.946576007770762,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"680728","Adrian Del Castillo","Arizona Diamondbacks",2132,659,0.309099437148218,0.289639133306033,0.300196281408658,41.4893677915369,0.084266934232281,5.18617097394211,0.0194603038421843,109.730151921092,0.906462585034014,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"682848","Endy Rodríguez","Pittsburgh Pirates",2765,841,0.304159132007233,0.289633708857937,0.297819511062195,40.1627950078029,0.0645304865186361,5.02034937597537,0.0145254231492958,107.262711574648,0.926298157453936,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"624431","Jose Trevino","Cincinnati Reds",2265,689,0.304194260485651,0.286955588554372,0.296511914489525,39.045591924348,0.0755915929561904,4.8806989905435,0.0172386719312795,108.61933596564,0.911468812877264,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"691788","Joe Mack","Miami Marlins",1481,482,0.325455773126266,0.30074508134721,0.313599867506928,36.5965345247827,0.100346384881644,4.57456681559784,0.0247106917790565,112.355345889528,0.87066431510876,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"641555","J.C. Escarra","New York Yankees",1887,590,0.312665606783254,0.29335975433574,0.303879947043043,36.4301435684581,0.0820388601541449,4.55376794605726,0.0193058524475135,109.652926223757,0.895586141433317,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"506702","Sandy León","Atlanta Braves",942,309,0.328025477707006,0.292561796361531,0.309776841069281,33.4067878274377,0.135221713745222,4.17584847842971,0.0354636813454753,117.731840672738,0.810671256454389,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"681508","Mickey Gasper","Boston Red Sox",940,315,0.335106382978723,0.304410454807361,0.319196807657416,28.8541724810805,0.114960940295385,3.60677156013506,0.0306959281713622,115.347964085681,0.810344827586207,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"666310","Bo Naylor","Cleveland Guardians",1870,579,0.309625668449198,0.297051575294939,0.303907621249366,23.5135541984639,0.0533084982295619,2.93919427480799,0.0125740931542588,106.287046577129,0.894736842105263,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"669134","Luis Campusano","San Diego Padres",3098,925,0.298579728857327,0.29154394605532,0.295523562579452,21.7968551206185,0.0315985218241399,2.72460689007731,0.00703578280200725,103.517891401004,0.933694996986136,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"669087","Sam Huff","Baltimore Orioles",716,248,0.346368715083799,0.31599470709687,0.329916257002505,21.7477897186413,0.105510595424445,2.71847371483017,0.0303740079869292,115.187003993465,0.764957264957265,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"660710","Rodolfo Durán","San Diego Padres",2041,609,0.298383145516903,0.287732493147004,0.293616468469841,21.7379814869657,0.0464580974323935,2.71724768587071,0.0106506523698999,105.32532618495,0.902697921273773,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"596117","Garrett Stubbs","Philadelphia Phillies",971,306,0.31513903192585,0.293340030655185,0.304027995373607,21.166830233815,0.0842930486920455,2.64585377922687,0.0217990012706643,110.899500635332,0.815281276238455,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"804668","Rafael Flores Jr.","Pittsburgh Pirates",1026,333,0.324561403508772,0.304060880842337,0.31426119426622,21.0335362557625,0.0785868690576658,2.62919203197032,0.0205005226664352,110.250261333218,0.823434991974318,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"606992","Eric Haase","San Francisco Giants",1788,532,0.297539149888143,0.285999153025253,0.292195631528318,20.6335143908476,0.0497947986552663,2.57918929885595,0.0115399968628902,105.769998431445,0.890438247011952,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"691019","Kyle Teel","Chicago White Sox",1216,373,0.306743421052632,0.292452897045887,0.299829556701392,17.3772771922013,0.0577959378399187,2.17215964902516,0.0142905240067445,107.145262003372,0.846796657381616,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"694212","Samuel Basallo","Baltimore Orioles",2145,652,0.303962703962704,0.296118390697316,0.300419196681708,16.8260519542575,0.0339012542261018,2.10325649428219,0.00784431326538813,103.922156632694,0.906976744186046,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"695670","Harry Ford","Washington Nationals",1115,332,0.297757847533632,0.283027602567557,0.290489483344663,16.424223137174,0.0598585620628803,2.05302789214675,0.0147302449660753,107.365122483038,0.835205992509363,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"640902","Jhonny Pereda","Seattle Mariners",1377,408,0.296296296296296,0.284520475422114,0.290686829805803,16.2153053437484,0.049357695468885,2.02691316796855,0.0117758208741818,105.887910437091,0.862241703193488,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
"664731","P.J. Higgins","Cincinnati Reds",776,245,0.315721649484536,0.29483728718333,0.30464567692816,16.2062651457356,0.0770635237695805,2.02578314321695,0.0208843623012057,110.442181150603,0.779116465863454,"catcher_framing_location_v1","2026-08-16","2026-08-17 10:36:06 UTC"
