"role","game_date","player_id","player_name","team","opponent","rarity_type","rarity_label","occurrence_count","stat_line","recognition_score","story_score","headline","report_date","history_universe","history_archive_method","source_note","generated_at_utc"
"Hitter",2025-08-01,"tovae001","Ezequiel Tovar","Colorado Rockies","PIT","four_doubles","four-double game",57,"4-for-6, 0 HR, 2 RBI, 8 TB",35,58.6,"Ezequiel Tovar's four-double game has occurred 57 times in the 1898-2025 Retrosheet index","2026-08-01","Retrosheet regular-season player games, 1898-2025","sabrhood_retrosheet_record_only_archive_v1","The information used here was obtained free of charge from and is copyrighted by Retrosheet. Interested parties may contact Retrosheet at www.retrosheet.org.","2026-08-01 11:25:28 UTC"
"Hitter",1990-08-01,"colea001","Alex Cole","Cleveland Guardians","KCA","five_steals","five-steal game",30,"2-for-2, 0 HR, 1 RBI, 2 TB",20.4,56.1,"Alex Cole's five-steal game has occurred 30 times in the 1898-2025 Retrosheet index","2026-08-01","Retrosheet regular-season player games, 1898-2025","sabrhood_retrosheet_record_only_archive_v1","The information used here was obtained free of charge from and is copyrighted by Retrosheet. Interested parties may contact Retrosheet at www.retrosheet.org.","2026-08-01 11:25:28 UTC"
"Hitter",1972-08-01,"colbn101","Nate Colbert","San Diego Padres","ATL","eight_rbi","eight-RBI game",175,"3-for-4, 3 HR, 8 RBI, 12 TB",27.2,45.4,"Nate Colbert's eight-RBI game has occurred 175 times in the 1898-2025 Retrosheet index","2026-08-01","Retrosheet regular-season player games, 1898-2025","sabrhood_retrosheet_record_only_archive_v1","The information used here was obtained free of charge from and is copyrighted by Retrosheet. Interested parties may contact Retrosheet at www.retrosheet.org.","2026-08-01 11:25:28 UTC"
