"date","pa","ab","hits","home_runs","walks","strikeouts","total_bases","batted_balls","hard_hit","batting_average","slugging_percentage","home_run_rate","strikeout_rate","walk_rate","hard_hit_rate","rolling_days","trend_method","source_through","generated_at_utc"
2026-03-25,74,67,13,0,5,18,15,49,19,0.194029850746269,0.223880597014925,0,0.243243243243243,0.0675675675675676,0.387755102040816,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-03-26,923,820,207,31,84,224,337,603,246,0.252439024390244,0.410975609756098,0.0335861321776815,0.242686890574215,0.0910075839653304,0.407960199004975,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-03-27,1491,1326,309,48,142,372,514,960,370,0.233031674208145,0.38763197586727,0.0321931589537223,0.249496981891348,0.0952380952380952,0.385416666666667,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-03-28,2669,2364,539,74,263,669,858,1708,660,0.228003384094755,0.362944162436548,0.0277257399775197,0.250655676283252,0.0985387785687523,0.386416861826698,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-03-29,3586,3159,731,103,362,899,1188,2283,898,0.231402342513454,0.376068376068376,0.0287228109313999,0.250697155605131,0.100948131622978,0.393342093736312,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-03-30,4704,4165,971,131,456,1155,1571,3037,1184,0.233133253301321,0.37719087635054,0.0278486394557823,0.245535714285714,0.0969387755102041,0.389858412907474,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-03-31,5722,5081,1179,160,546,1401,1909,3711,1450,0.23204093682346,0.37571344223578,0.0279622509612024,0.244844459979028,0.0954211814051031,0.390730261385071,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-04-01,6843,6082,1402,189,641,1674,2268,4445,1750,0.230516277540283,0.372903650115094,0.0276194651468654,0.244629548443665,0.0936723659213795,0.393700787401575,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-04-02,7077,6287,1457,199,663,1720,2366,4608,1816,0.231748051534913,0.376332113885796,0.0281192595732655,0.243040836512647,0.0936837643069097,0.394097222222222,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-04-03,8124,7222,1675,230,759,1964,2733,5307,2096,0.23193021323733,0.378427028523955,0.0283111767602166,0.241752831117676,0.0934268833087149,0.394950065950631,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-04-04,9266,8213,1909,247,886,2223,3072,6042,2391,0.232436381346646,0.374041154267625,0.0266565939995683,0.239909345996115,0.0956183898122167,0.395729890764647,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-04-05,10521,9302,2168,279,1021,2496,3494,6873,2740,0.233068157385508,0.375618146635132,0.0265183917878529,0.237239806102082,0.0970440072236479,0.398661428779281,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-04-06,11503,10166,2380,308,1119,2684,3849,7555,3033,0.234113712374582,0.37861499114696,0.026775623750326,0.233330435538555,0.0972789707032948,0.401455989410986,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
2026-04-07,12635,11164,2606,326,1225,2964,4175,8285,3298,0.233428878538158,0.37396990326048,0.0258013454689355,0.234586466165414,0.0969529085872576,0.3980687990344,14,"calendar_day_rolling_league_production_v1","2026-08-24","2026-08-25 10:32:48 UTC"
