"batter_id","player_name","team","tracked_batted_balls","batted_balls_100_plus","average_exit_velocity","max_exit_velocity","batted_balls_100_plus_rate","perspective","tracking_method","source_through","generated_at_utc"
"666176","Jo Adell","Cleveland Guardians",342,102,89.9400584795322,114.9,0.298245614035088,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"691718","Pete Crow-Armstrong","Chicago Cubs",328,101,89.1612804878049,114.6,0.307926829268293,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"800050","Chase DeLauter","Cleveland Guardians",340,101,91.1591176470588,111.2,0.297058823529412,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"518692","Freddie Freeman","Los Angeles Dodgers",374,101,89.7302139037433,110.3,0.270053475935829,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"677800","Wilyer Abreu","Boston Red Sox",362,100,89.7544198895028,113.1,0.276243093922652,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"701762","Nick Kurtz","Athletics",211,99,93.1123222748815,115.9,0.469194312796209,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"641343","Jake Bauers","Milwaukee Brewers",266,98,92.4872180451128,114.8,0.368421052631579,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"669394","Jake Burger","Texas Rangers",309,98,89.9352750809062,113.6,0.317152103559871,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"701398","Sal Stewart","Cincinnati Reds",347,98,90.1077809798271,111.4,0.282420749279539,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"663586","Austin Riley","Atlanta Braves",292,97,91.3061643835616,112.2,0.332191780821918,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"665019","Kody Clemens","Minnesota Twins",301,96,91.8056478405316,108.2,0.318936877076412,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
