"team","fielding_runs","range_runs","arm_runs","double_play_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","innings","players","official_fielding_rank","source","model_version","source_through","generated_at_utc"
"Detroit Tigers",-7.87070705469894,-19.2664222513684,-4.74397492378223,3.77999148176483,11.9781519568826,7.17579298899102,2.1824522962362,2.61990667165537,4083.33333333333,20,21,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Cincinnati Reds",-9.41196357094662,4.90110494292651,-6.26399019638508,-1.74790309486192,-5.2204985115112,-7.75937680712322,-1.68734126479587,4.22621956040789,4602.33333333333,21,22,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Pittsburgh Pirates",-15.712046697472,-13.1643051155425,-3.97316172258178,1.75831126256792,0.436967745923509,1.1321487828002,-0.189519216709553,-0.505661820167139,4464.44444444444,21,23,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Baltimore Orioles",-16.0676854243287,-8.83153278052096,0.0964538294761466,-2.66463200793293,-0.6835390571003,-3.97495410905755,2.22113686282195,1.0702781891353,3809.77777777778,17,24,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"San Francisco Giants",-16.1731724799201,-18.812264275259,-1.26632646431577,1.11162939890147,6.60748698697328,5.9050653467963,4.1203544415552,-3.41793280137821,4087.22222222222,27,25,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Colorado Rockies",-18.7604692651966,-10.4072285108645,-1.3303297056082,0.883031101746995,-8.82867579903247,-5.43816328936177,-3.37241074748281,-0.0181017621878912,4522.77777777778,19,26,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Los Angeles Angels",-21.2172022350201,-14.3159225147962,4.50148590110234,0.34677741588251,-15.4324494257003,-12.4034872922924,-1.45868280391348,-1.57027932949434,3930.55555555556,23,27,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Minnesota Twins",-28.585844830438,-17.3829845851099,-2.93413907930633,-1.18794854322345,-6.77345139025249,-1.21556716279898,-6.39308149103765,0.835197263584139,4733.44444444444,21,28,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Athletics",-37.0411194407524,-35.1791833296742,-0.19836240289267,-0.1268046895887,-3.29719874300905,-5.37252873590982,1.82250249298293,0.252827499917841,4568.11111111111,23,29,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Seattle Mariners",-45.2797466870674,-42.2131216636921,-0.114172482471276,0.754421763098628,-4.91041111326167,-5.51462067854868,-2.66785235721869,3.2720619225057,4862.88888888889,23,30,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
