"game_id","driver_order","driver_label","advantage_team","driver_detail"
"824307",3,"Available bullpen","San Diego Padres","3.13 vs 4.53 FIP blend with active reliever selector"
"824307",4,"Park and weather","Run environment","70 F temperature adjustment; park factor 1"
"823980",1,"Posted-lineup offense","Seattle Mariners","107 vs 92 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"823980",2,"Probable starter","Seattle Mariners","Logan Gilbert 3.51 over 5.9 expected IP vs Ryan Johnson 6.23 over 5.3 expected IP"
"823980",3,"Available bullpen","Seattle Mariners","3.5 vs 3.79 FIP blend with active reliever selector"
"823980",4,"Park and weather","Run environment","70 F temperature adjustment; park factor 1"
"825030",1,"Posted-lineup offense","Miami Marlins","102 vs 101 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"825030",2,"Probable starter","Arizona Diamondbacks","Janson Junk 4.37 over 5.1 expected IP vs Michael Soroka 3.13 over 5.4 expected IP"
"825030",3,"Available bullpen","Arizona Diamondbacks","4.15 vs 3.72 FIP blend with active reliever selector"
"825030",4,"Park and weather","Run environment","87 F temperature adjustment; park factor 1"
