"estimate","standard_error","z_value","p_value","term","training_rows","observed_hook_rate","method","source_through","generated_at_utc"
-3.20109095335912,0.201721585344406,-15.8688568102109,1.04120085784271e-56,"(Intercept)",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
2.07924996258054,0.0464710697394567,44.7428900225021,0,"pitches_over_60",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
1.23059239679346,0.0876227238909967,14.0442152691387,8.35891577409481e-45,"bf_over_18",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
-0.355442388321804,0.0612190728714656,-5.80607270985767,6.39551971845924e-09,"third_time",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
0.012562302040211,0.0283916017495282,0.442465421677724,0.658152446912817,"late_inning",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
0.104297589807156,0.0231258767707629,4.5099950519072,6.48291378666849e-06,"close_game",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
-0.0495507247206005,0.032139995607688,-1.54171535445847,0.123142779060093,"trailing_badly",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
-0.793458898309792,0.0234620733715266,-33.8187885505775,1.04431734654144e-250,"adverse_result",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
-1.21688875642583,0.202195607726927,-6.01837384157859,1.76177940993773e-09,"starter_flag",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
1.47444281184962,0.200571096474036,7.35122277222275,1.96401766191517e-13,"reliever_flag",150498,0.0882005076479422,"sabrhood_pooled_hook_logit_v1","2026-08-29","2026-08-30 14:45:15 UTC"
