"dataset","rows","method","source_through","generated_at_utc"
"manager_pitching_decisions",169965,"canonical_completed_pa_v1","2026-09-13","2026-09-14 16:16:04 UTC"
"observed_pitcher_hooks",14648,"next_pitcher_changed_v1","2026-09-13","2026-09-14 16:16:04 UTC"
"hook_model_training_rows",165475,"sabrhood_pooled_hook_logit_v1","2026-09-13","2026-09-14 16:16:04 UTC"
"hook_model_validation_rows",33837,"sabrhood_hook_time_holdout_v1","2026-09-13","2026-09-14 16:16:04 UTC"
