"current_game_id","team","opponent","role","player_id","player_name","games","plate_appearances","hits","doubles","triples","home_runs","runs_batted_in","walks","strikeouts","innings_outs","source_through","method"
"822868","Seattle Mariners","Texas Rangers","Pitcher","642100","Gabe Speier",1,,,,,,,0,3,4,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Seattle Mariners","Texas Rangers","Pitcher","660825","Eduard Bazardo",2,,,,,,,0,3,5,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Seattle Mariners","Texas Rangers","Pitcher","662253","Andrés Muñoz",1,,,,,,,0,3,3,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Seattle Mariners","Texas Rangers","Pitcher","677961","Cole Wilcox",1,,,,,,,1,2,5,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Seattle Mariners","Texas Rangers","Pitcher","682243","Bryce Miller",1,,,,,,,1,0,16,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Seattle Mariners","Texas Rangers","Pitcher","689546","Nick Davila",1,,,,,,,1,0,4,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","592626","Joc Pederson",3,13,5,2,0,0,0,0,0,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","694671","Wyatt Langford",3,12,5,2,0,1,2,0,2,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","677649","Ezequiel Duran",3,12,4,0,1,1,4,0,1,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","607043","Brandon Nimmo",3,12,3,1,0,0,0,1,2,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","670032","Nicky Lopez",3,12,3,0,0,0,3,1,2,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","553869","Elias Díaz",2,7,2,0,0,0,0,0,2,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","669394","Jake Burger",2,8,2,0,0,1,3,1,3,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","694497","Evan Carter",3,12,2,1,0,0,2,4,3,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","642851","Austin Wynns",1,4,1,0,0,0,0,0,2,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","696030","Alejandro Osuna",3,6,1,1,0,0,2,0,3,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","669701","Josh Smith",2,6,0,0,0,0,0,0,1,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","679822","Justin Foscue",2,2,0,0,0,0,0,0,2,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Hitter","695508","Cam Cauley",2,3,0,0,0,0,0,0,0,,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","543135","Nathan Eovaldi",1,,,,,,,1,8,20,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","669022","MacKenzie Gore",1,,,,,,,2,5,15,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","594798","Jacob deGrom",1,,,,,,,0,4,15,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","695239","Robby Ahlstrom",2,,,,,,,0,3,6,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","682608","Peyton Gray",2,,,,,,,0,2,6,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","596001","Jakob Junis",1,,,,,,,0,1,3,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","656641","Jacob Latz",1,,,,,,,0,1,3,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","668390","Cole Winn",2,,,,,,,0,1,3,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","641302","Tyler Alexander",2,,,,,,,0,0,3,2026-07-26,"consecutive_same_opponent_player_totals_v1"
"822868","Texas Rangers","Seattle Mariners","Pitcher","687239","Ben Peoples",2,,,,,,,0,0,6,2026-07-26,"consecutive_same_opponent_player_totals_v1"
