model,backtest_rows,weighted_subjects,future_games_mae,future_games_median_bias,interval_80_coverage,interval_80_mean_width,brier_250,brier_500,brier_1000
baseline,185,941,245.245749202976,113,0.856004250797025,976.065887353879,0.210829235810342,0.204446035399753,0.0643088136237626
checkpoint_tuned,185,941,246.140807651435,115,0.855472901168969,968.351487778959,0.209786881740603,0.199305164777759,0.065419579061288
active_uncorrected,185,941,245.245749202976,113,0.856004250797025,976.065887353879,0.210829235810342,0.204446035399753,0.0643088136237626
active_bias_corrected,185,941,310.587407013815,225,0.509829968119022,976.065887353879,0.210829235810342,0.204446035399753,0.0643088136237626
