"opportunity_type","opportunities","attempts","successes","modeled_rate","success_rate_when_attempted","rate_definition"
"double_first_scores",2051,2051,846,0.412481716235982,0.412481716235982,"successful advances per opportunity"
"first_to_second_on_out",7777,7777,1932,0.248424842484248,0.248424842484248,"successful advances per opportunity"
"ground_ball_double_play",13578,13578,2794,0.205774046251289,0.205774046251289,"successful advances per opportunity"
"sac_fly_scores",2717,2717,1623,0.59735001840265,0.59735001840265,"successful advances per opportunity"
"second_to_third_on_out",5954,5954,2845,0.477830030231777,0.477830030231777,"successful advances per opportunity"
"single_first_to_third",7310,7310,2519,0.344596443228454,0.344596443228454,"successful advances per opportunity"
"single_second_scores",3792,3792,2342,0.617616033755274,0.617616033755274,"successful advances per opportunity"
"steal_second",35417,2293,2015,0.0647429200666347,0.878761447884867,"attempts per eligible runner window"
"steal_third",20562,278,238,0.0135200855947865,0.856115107913669,"attempts per eligible runner window"
