"player_id","player_name","team","eligible_pitches","attempts","attempt_rate","expected_attempt_rate","adjusted_attempt_rate","attempts_above_expected","attempt_logit_effect","attempts_modeled","stolen_bases","success_rate_allowed","expected_success_rate_allowed","adjusted_success_rate_allowed","advances_above_expected","success_logit_effect","attempt_index","success_allowed_index","attempts_prevented","base_advances_prevented","stealing_runs_saved","reliability","source_through","generated_at_utc"
"506702","Sandy León","Atlanta Braves",622,8,0.0128617363344051,0.013493049069913,0.0127603329327735,-0.392676521485893,-0.0598345730428358,8,8,1,0.849590781831701,0.882594397315001,1.20327374534639,0.289902912064262,106.76229322137,106.215851622144,0.392676521485893,-1.20327374534639,-0.782127934475155,0.838274932614555,"2026-08-04","2026-08-06 04:39:56 UTC"
"518595","Travis d'Arnaud","Los Angeles Angels",741,9,0.0121457489878543,0.00945487488627116,0.0113172339880198,1.99393770927307,0.199934531770758,9,8,0.888888888888889,0.82489951475319,0.840050288160755,0.575904367221288,0.111791134435605,94.688270270798,101.095879413992,-1.99393770927307,-0.575904367221288,-0.374337838693837,0.860627177700348,"2026-08-04","2026-08-06 04:39:56 UTC"
"521692","Salvador Perez","Kansas City Royals",3206,35,0.0109170305676856,0.0124838701913524,0.0108522807149437,-5.02328783347564,-0.152610640266502,35,25,0.714285714285714,0.824671601922389,0.764741857037142,-3.86350606728361,-0.377195417609906,90.7981305749209,92.032883806433,5.02328783347564,3.86350606728361,2.51127894373435,0.963920625375827,"2026-08-04","2026-08-06 04:39:56 UTC"
"543309","Kyle Higashioka","Texas Rangers",2460,34,0.0138211382113821,0.0109058868771825,0.0131933342950847,7.17151828213113,0.206344323095171,34,30,0.882352941176471,0.829222139322428,0.8576835665221,1.80644726303745,0.221610320182645,110.385099824604,103.217956875325,-7.17151828213113,-1.80644726303745,-1.17419072097434,0.953488372093023,"2026-08-04","2026-08-06 04:39:56 UTC"
"543510","James McCann","Arizona Diamondbacks",524,11,0.0209923664122137,0.0116568155708479,0.0180834562395029,4.89182864087569,0.490732628810686,11,9,0.818181818181818,0.837046323299329,0.831938669225605,-0.207509556292614,-0.0385005307152739,151.299442394563,100.119686367841,-4.89182864087569,0.207509556292614,0.134881211590199,0.813664596273292,"2026-08-04","2026-08-06 04:39:56 UTC"
"543877","Christian Vázquez","Houston Astros",2571,36,0.014002333722287,0.0126954154333528,0.0135696688130598,3.36008692085003,0.0746294917234192,36,33,0.916666666666667,0.836381559712763,0.880833058063747,2.89026385034055,0.375576458324033,113.533790095387,106.003883192324,-3.36008692085003,-2.89026385034055,-1.87867150272136,0.955406911928651,"2026-08-04","2026-08-06 04:39:56 UTC"
"553869","Elias Díaz","Kansas City Royals",148,3,0.0202702702702703,0.00739910235168116,0.0139861169780542,1.90493285195119,0.663161101531085,,,,,,,,117.018100523404,,-1.90493285195119,,,0.552238805970149,"2026-08-04","2026-08-06 04:39:56 UTC"
"575929","Willson Contreras","Boston Red Sox",4313,47,0.010897287271041,0.0129020919019981,0.0108351983950843,-8.64672237331789,-0.188839504244433,47,38,0.808510638297872,0.834082957122598,0.818457060348697,-1.20189898476212,-0.111585984493661,90.65520737289,98.4972417064493,8.64672237331789,1.20189898476212,0.78123434009538,0.972930295510941,"2026-08-04","2026-08-06 04:39:56 UTC"
"592663","J.T. Realmuto","Philadelphia Phillies",3899,44,0.0112849448576558,0.0133896768293188,0.0112698587413419,-8.20634995751389,-0.189590010617488,44,34,0.772727272727273,0.830891218593667,0.796275780983476,-2.55921361812133,-0.234480265180253,94.291894251151,95.827834915501,8.20634995751389,2.55921361812133,1.66348885177887,0.970141826324956,"2026-08-04","2026-08-06 04:39:56 UTC"
"595978","Austin Hedges","Cleveland Guardians",2375,29,0.0122105263157895,0.0094301334772616,0.0116289599524577,6.6034329915037,0.229414913486441,29,28,0.96551724137931,0.841685045096376,0.904028682020817,3.59113369220511,0.579613129638062,97.2963980520531,108.795361316366,-6.6034329915037,-3.59113369220511,-2.33423689993332,0.95190380761523,"2026-08-04","2026-08-06 04:39:56 UTC"
"596117","Garrett Stubbs","Philadelphia Phillies",514,9,0.0175097276264591,0.0138375423963423,0.0162932610434784,1.88750320828008,0.177829575575363,9,6,0.666666666666667,0.810508784335608,0.776218420323281,-1.29457905902047,-0.213564577313301,136.321357931691,93.4140311906007,-1.88750320828008,1.29457905902047,0.841476388363307,0.810725552050473,"2026-08-04","2026-08-06 04:39:56 UTC"
"596142","Gary Sánchez","Milwaukee Brewers",774,12,0.0155038759689922,0.00962236590198521,0.0139702807232939,4.55228879186345,0.409523017458134,12,9,0.75,0.801758173184564,0.78644411232354,-0.621098078214771,-0.0949580561146619,116.88560281483,94.6446424289424,-4.55228879186345,0.621098078214771,0.403713750839601,0.865771812080537,"2026-08-04","2026-08-06 04:39:56 UTC"
"605170","Victor Caratini","Minnesota Twins",2690,34,0.012639405204461,0.0125608103683978,0.0123992811205665,0.21142010901004,-0.0142590192512557,34,32,0.941176470588235,0.842764626868706,0.895958972894569,3.34600268646399,0.482498088025095,103.741469262776,107.824211907538,-0.21142010901004,-3.34600268646399,-2.17490174620159,0.95729537366548,"2026-08-04","2026-08-06 04:39:56 UTC"
"605244","Aramis Garcia","Arizona Diamondbacks",161,0,0,0.00575485297725884,0.00251303776350391,-0.926531329338673,-0.854265356641664,,,,,,,,21.0259149190761,,0.926531329338673,,,0.572953736654804,"2026-08-04","2026-08-06 04:39:56 UTC"
"606992","Eric Haase","San Francisco Giants",1117,18,0.0161145926589078,0.00903950198549428,0.0144922470237712,7.90287628220289,0.52044169179753,18,15,0.833333333333333,0.823620768641063,0.827367483019483,0.17482616446086,0.0263955234144755,121.252755264285,99.5695668143018,-7.90287628220289,-0.17482616446086,-0.113637006899559,0.902991107518189,"2026-08-04","2026-08-06 04:39:56 UTC"
"608348","Carson Kelly","Chicago Cubs",3196,38,0.0118898623279099,0.0109450601127397,0.0115485528897136,3.019587879684,0.0588172890954013,38,32,0.842105263157895,0.829847270670279,0.836772944713362,0.465803714529405,0.05084592151203,96.6236536609017,100.701467409586,-3.019587879684,-0.465803714529405,-0.302772414444114,0.963811821471653,"2026-08-04","2026-08-06 04:39:56 UTC"
"620443","Luis Torrens","New York Mets",2069,15,0.00724987916868052,0.0116649585772363,0.00758361581399906,-9.13479929630198,-0.466051447876575,,,,,,,,63.4500854701763,,9.13479929630198,,,0.94518044769301,"2026-08-04","2026-08-06 04:39:56 UTC"
"623168","Tyler Heineman","Toronto Blue Jays",96,6,0.0625,0.019509188410094,0.0359453492525626,4.12711791263098,0.686092900143536,6,6,1,0.841683186737682,0.86961511079405,0.949900879573907,0.226811160127492,300.745124524938,104.653858961116,-4.12711791263098,-0.949900879573907,-0.61743557172304,0.444444444444444,"2026-08-04","2026-08-06 04:39:56 UTC"
"624431","Jose Trevino","Cincinnati Reds",1265,17,0.0134387351778656,0.0149975845425356,0.0134806517262873,-1.97194444630748,-0.12129178008183,17,14,0.823529411764706,0.822918001828885,0.82314731287472,0.0103939689089476,0.00159636105800498,112.789007935722,99.0616903001522,1.97194444630748,-0.0103939689089476,-0.00675607979081595,0.913357400722022,"2026-08-04","2026-08-06 04:39:56 UTC"
"624512","Reese McGuire","Chicago White Sox",553,12,0.0216998191681736,0.0130800847705351,0.0191387520003127,4.76671312189411,0.421283521461814,12,12,1,0.847034271164432,0.892766718011021,1.83558874602682,0.409436463378634,160.128819813194,107.440039889131,-4.76671312189411,-1.83558874602682,-1.19313268491743,0.821693907875186,"2026-08-04","2026-08-06 04:39:56 UTC"
"640459","Brian Navarreto","Miami Marlins",57,3,0.0526315789473684,0.0110968282782775,0.0230828772392931,2.36748078813818,0.784434340606138,3,3,1,0.869454784782744,0.882016373551212,0.391635645651769,0.116208701270896,193.128260931563,106.146289333379,-2.36748078813818,-0.391635645651769,-0.25456316967365,0.322033898305085,"2026-08-04","2026-08-06 04:39:56 UTC"
"640902","Jhonny Pereda","Seattle Mariners",785,10,0.0127388535031847,0.0116499285376268,0.0122889861916743,0.854806097963001,0.0573358504428532,10,7,0.7,0.817220804858144,0.787564996755634,-1.17220804858144,-0.194420054253826,102.818661088315,94.7795353025966,-0.854806097963001,1.17220804858144,0.761935231577935,0.867403314917127,"2026-08-04","2026-08-06 04:39:56 UTC"
"641555","J.C. Escarra","New York Yankees",1291,13,0.0100697134004648,0.00986688169598754,0.00988629166240956,0.261855730480082,0.00219854444329037,13,12,0.923076923076923,0.839277038252126,0.865479611839415,1.08939850272236,0.211879816757729,82.7159585016203,104.156172204113,-0.261855730480082,-1.08939850272236,-0.708109026769532,0.914953933380581,"2026-08-04","2026-08-06 04:39:56 UTC"
"641598","Mitch Garver","Seattle Mariners",738,14,0.018970189701897,0.0122836358918563,0.0172155141656143,4.93467671181007,0.367579501325078,14,14,1,0.847968401964503,0.898309808848929,2.12844237249696,0.463511615393872,144.037603171414,108.107123337382,-4.93467671181007,-2.12844237249696,-1.38348754212303,0.86013986013986,"2026-08-04","2026-08-06 04:39:56 UTC"
"641680","Jonah Heim remains in the game as the catcher.","Athletics",27,1,0.037037037037037,0.0212384096073221,0.023768954099227,0.426562940602303,0.122234306759409,1,1,1,0.891161807953055,0.894914862958166,0.108838192046945,0.0392940270251771,198.868482544788,107.69855846308,-0.426562940602303,-0.108838192046945,-0.0707448248305141,0.183673469387755,"2026-08-04","2026-08-06 04:39:56 UTC"
"642020","Chuckie Robinson","Los Angeles Dodgers",302,4,0.0132450331125828,0.00949473959695234,0.0117873659394426,1.13258864172039,0.233658115234047,4,3,0.75,0.794795313751361,0.789269981638019,-0.179181255005443,-0.0339853946026676,98.6217385834954,94.9847217640519,-1.13258864172039,0.179181255005443,0.116467815753538,0.71563981042654,"2026-08-04","2026-08-06 04:39:56 UTC"
"642851","Austin Wynns","Athletics",126,0,0,0.0149991124011369,0.00776903509647103,-1.88988816254324,-0.725744678332148,,,,,,,,65.0014390209387,,1.88988816254324,,,0.51219512195122,"2026-08-04","2026-08-06 04:39:56 UTC"
"643376","Danny Jansen","Texas Rangers",1853,23,0.0124123043712898,0.00919808387800102,0.0117902732718299,5.95595057406411,0.26537795281469,23,21,0.91304347826087,0.841866656637772,0.873654177197578,1.63706689733125,0.264314881034741,98.6460634560883,105.139940539601,-5.95595057406411,-1.63706689733125,-1.06409348326531,0.939178915357324,"2026-08-04","2026-08-06 04:39:56 UTC"
"644433","Chadwick Tromp","Atlanta Braves",100,2,0.02,0.0134998013274299,0.0160170891086449,0.65001986725701,0.190006700988146,2,2,1,0.84654865532911,0.856639351266051,0.306902689341779,0.0810051304054469,134.010701208113,103.09229075617,-0.65001986725701,-0.306902689341779,-0.199486748072156,0.454545454545455,"2026-08-04","2026-08-06 04:39:56 UTC"
"645305","Ali Sánchez","New York Yankees",963,2,0.00207684319833853,0.00914186598577488,0.00300956273906153,-6.80361694430121,-1.18339135985639,2,2,1,0.837874726527206,0.848662798183949,0.324250546945587,0.0818103816810085,25.1802066065653,102.132352214523,6.80361694430121,-0.324250546945587,-0.210762855514632,0.889196675900277,"2026-08-04","2026-08-06 04:39:56 UTC"
"650968","Yohel Pozo remains in the game as the catcher.","St. Louis Cardinals",110,1,0.00909090909090909,0.00530002663041768,0.00693179003516517,0.416997070654055,0.282372715392374,,,,,,,,57.9964334929324,,-0.416997070654055,,,0.478260869565217,"2026-08-04","2026-08-06 04:39:56 UTC"
"656577","Alex Jackson","Minnesota Twins",809,9,0.0111248454882571,0.00981799537090059,0.0106580232091504,1.05724174494142,0.0897030138373198,9,8,0.888888888888889,0.83948721799094,0.851144247986441,0.444615038081545,0.0920328282371334,89.1728299731879,102.430982372193,-1.05724174494142,-0.444615038081545,-0.288999774753004,0.870828848223897,"2026-08-04","2026-08-06 04:39:56 UTC"
"657136","Connor Wong remains in the game as the catcher.","Boston Red Sox",302,4,0.0132450331125828,0.0126910634003741,0.0128746515214655,0.167298853087011,0.0158549305382341,,,,,,,,107.718766281351,,-0.167298853087011,,,0.71563981042654,"2026-08-04","2026-08-06 04:39:56 UTC"
"660688","Keibert Ruiz","Washington Nationals",3423,43,0.0125620800467426,0.0103660198209062,0.0120951339223689,7.51711415303814,0.168214578497063,43,37,0.86046511627907,0.827193286757942,0.847024251955321,1.43068866940851,0.148065616499767,101.196750991905,101.935161315028,-7.51711415303814,-1.43068866940851,-0.929947635115531,0.966130397967824,"2026-08-04","2026-08-06 04:39:56 UTC"
"660710","Rodolfo Durán","San Diego Padres",1314,19,0.0144596651445967,0.0118493255530908,0.0137760999999628,3.42998622323873,0.166428246157614,19,13,0.684210526315789,0.83966470832108,0.778412004811642,-2.95362945810053,-0.408484106674357,115.260944631424,93.6780181876236,-3.42998622323873,2.95362945810053,1.91985914776534,0.916317991631799,"2026-08-04","2026-08-06 04:39:56 UTC"
