"model_version","settled_games","correct_winner_predictions","classification_accuracy","brier_score","log_loss","calibration_bias","away_runs_mae","home_runs_mae","total_runs_mae"
"scheduled_game_simulator_development_v1",39,24,0.615384615384615,0.232364941025641,0.654923815798343,-0.0418025641025641,2.09729743589744,2.80861282051282,3.45015897435897
"scheduled_game_simulator_development_v2",27,13,0.481481481481481,0.243080056759259,0.677092849736319,-0.0176722222222222,1.91833703703704,3.03199074074074,3.99890185185185
"scheduled_game_simulator_development_v3",685,393,0.573722627737226,0.246774170186131,0.687315995468833,0.0280749635036496,2.48541620437956,2.35438343065693,3.52845189781022
