"game_id","game_date","team_side","batting_order","batter_id","batter_name","batter_team","pitcher_id","pitcher_name","pitcher_team","batter_hand","pitcher_hand","batter_pa","pitcher_bf","batter_split_pa","pitcher_split_bf","batter_form_confidence","pitcher_form_confidence","p_BB","p_HBP","p_K","p_1B","p_2B","p_3B","p_HR","p_OUT","p_hit","p_xbh","p_on_base","estimated_woba","probability_sum","matchup_reliability","input_status","model_version","generated_at_utc"
"823509","2026-08-22","home",2,"700250","Ben Rice","New York Yankees","656302","Dylan Cease","Toronto Blue Jays","L","R",525,556,345,315,0.342,0.324,0.162103766985183,0.00128808823484702,0.371222429335756,0.0685723983551097,0.0296046845205873,0.000295237075112371,0.0443919490331108,0.322521446460294,0.14286426898392,0.0742918706288104,0.30625612420395,0.299520929500619,1,71.2380228432491,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
"823509","2026-08-22","home",3,"671218","Heliot Ramos","New York Yankees","656302","Dylan Cease","Toronto Blue Jays","R","R",362,556,282,241,0.301,0.324,0.0578679141421439,0.00594198707133957,0.39968933805635,0.129623547199249,0.0333759815494334,0.000711565175184896,0.00994731161917511,0.362842355187124,0.173658405543042,0.0440348583437934,0.237468306756526,0.220766168133911,1,66.9585741547469,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
"823509","2026-08-22","home",4,"671277","Luis García Jr.","New York Yankees","656302","Dylan Cease","Toronto Blue Jays","L","R",434,556,369,315,0.301,0.324,0.0606675395432552,0.000561072820316438,0.305754766030314,0.107216285786862,0.0415904563388226,0.00116060753757358,0.0425883703752085,0.440460901567648,0.192555720038467,0.0853394342516047,0.253784332402038,0.275600244280836,1,70.046000936743,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
"823509","2026-08-22","home",5,"682987","Spencer Jones","New York Yankees","656302","Dylan Cease","Toronto Blue Jays","L","R",170,556,140,315,0.31,0.324,0.100589064267672,0.00219711665559697,0.498420920666669,0.0794419685398502,0.0234890766973892,0.000179280401771959,0.0234428643010879,0.272239708469963,0.126553189940099,0.047111221400249,0.229339370863369,0.217423600428506,1,58.8881663421377,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
"823509","2026-08-22","home",6,"806146","George Lombard Jr.","New York Yankees","656302","Dylan Cease","Toronto Blue Jays","U","R",0,556,52,0,0,0.324,0.0980173037185411,0.00504875963902316,0.33406988368073,0.128120902497618,0.0274123243930231,0.000794387356654152,0.0222189264152608,0.38431751229915,0.178546540662556,0.0504256381649381,0.28161260402012,0.263904009322197,1,28.5507002565504,"batter_league_fallback","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
"823509","2026-08-22","home",7,"665862","Jazz Chisholm Jr.","New York Yankees","656302","Dylan Cease","Toronto Blue Jays","L","R",465,556,322,315,0.281,0.324,0.133679108113071,0.0019689206906938,0.428077974414558,0.0780528599404348,0.0198003697086242,0.000315210713120053,0.02579218708171,0.312313369337788,0.123960627443889,0.0459077675034543,0.259608656247654,0.239229207428299,1,70.1616102972129,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
"823509","2026-08-22","home",8,"669224","Austin Wells","New York Yankees","656302","Dylan Cease","Toronto Blue Jays","L","R",294,556,213,315,0.237,0.324,0.13246541497706,0.00516419577203759,0.37836195649266,0.0858532832020855,0.0146437719118371,4.71088771459818e-05,0.0196639437429689,0.363800325024205,0.120208107734037,0.034354824531952,0.257837718483135,0.228426540450267,1,65.1651791952334,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
"823509","2026-08-22","home",9,"676609","José Caballero","New York Yankees","656302","Dylan Cease","Toronto Blue Jays","R","R",369,556,245,241,0,0.324,0.0745678483239107,0.00851995749757163,0.329163370836075,0.137698991610359,0.02726435509155,4.65454744102477e-05,0.0134124614420951,0.409326469724028,0.178422353618415,0.0407233620080554,0.261510159439897,0.239600756111079,1,66.6511174982762,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
"823743","2026-08-22","away",1,"686948","Drake Baldwin","Atlanta Braves","701656","Logan Henderson","Milwaukee Brewers","L","R",470,241,290,162,0.359,0.324,0.0694108091014863,0.00856949163699488,0.279785185282305,0.125863736058076,0.0186515986798043,0.000470557779680795,0.0598929851799477,0.437355636281705,0.204878877697508,0.0790151416394328,0.28285917843599,0.309070532700723,1,60.6802915407638,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
"823743","2026-08-22","away",2,"660670","Ronald Acuña Jr.","Atlanta Braves","701656","Logan Henderson","Milwaukee Brewers","R","R",337,241,227,79,0.355,0.324,0.0653523804673252,0.00688047683406111,0.302903697240566,0.1158159630725,0.0325810016680245,0.000742542921564225,0.0448661985496363,0.430857739246322,0.194005706211725,0.0781897431392251,0.266238563513112,0.283705001457538,1,54.6259633027381,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-08-22 16:53:25 UTC"
