"probability_bin","bin_lower","bin_upper","observations","mean_probability","observed_rate","calibration_gap","model_version","sample"
4,0.3,0.4,3,0.375577200105,0.666666666666667,0.291089466561667,"pregame_rolling_score_calibrator_v1","chronological_validation"
5,0.4,0.5,135,0.465344513422703,0.444444444444444,-0.0209000689782589,"pregame_rolling_score_calibrator_v1","chronological_validation"
6,0.5,0.6,136,0.533996390721042,0.566176470588235,0.0321800798671936,"pregame_rolling_score_calibrator_v1","chronological_validation"
7,0.6,0.7,8,0.611224173903683,0.375,-0.236224173903683,"pregame_rolling_score_calibrator_v1","chronological_validation"
