"game_id","team_side","batting_order","batter_id","batter_name","batter_team","pitcher_team","p_BB","p_HBP","p_K","p_1B","p_2B","p_3B","p_HR","p_OUT","bullpen_pitcher_count","bullpen_mean_availability","selected_relief_pitchers","bullpen_input_status"
"823334","home",8,"669707","Jared Triolo","Pittsburgh Pirates","Milwaukee Brewers",0.0803880975091142,0.0138158104119484,0.216683412810355,0.160332835435372,0.0292308625572417,0.000729366918270744,0.00928559438252715,0.489534019975171,6,0.914416037999441,"Garrett Stallings | Chad Patrick | Antonio Senzatela | JoJo Romero | Abner Uribe | Trevor Megill","availability_weighted_active_relievers"
"823334","home",9,"680779","Henry Davis","Pittsburgh Pirates","Milwaukee Brewers",0.0939858995808486,0.0247273002819117,0.211211166048971,0.104163882471676,0.0195245243287832,0.000871119417523437,0.0223577355257497,0.523158372344536,6,0.914416037999441,"Garrett Stallings | Chad Patrick | Antonio Senzatela | JoJo Romero | Abner Uribe | Trevor Megill","availability_weighted_active_relievers"
"824464","away",1,"669242","Tommy Edman","Los Angeles Dodgers","Cincinnati Reds",0.0817213768249874,0.0404806715089335,0.221496468423818,0.149833816265353,0.0320356036320163,0.00535343261055493,0.0207247511230901,0.448353879611246,6,0.836794910786699,"Brock Burke | Luis Mey | Emilio Pagán | Tony Santillan | Graham Ashcraft | Julian Garcia","availability_weighted_active_relievers"
"824464","away",2,"518692","Freddie Freeman","Los Angeles Dodgers","Cincinnati Reds",0.130411003140004,0.0085005654849648,0.187961934048686,0.156908318604676,0.044564534193706,0.00309146736052531,0.0269400942514134,0.441622082916024,6,0.836794910786699,"Brock Burke | Luis Mey | Emilio Pagán | Tony Santillan | Graham Ashcraft | Julian Garcia","availability_weighted_active_relievers"
"824464","away",3,"663656","Kyle Tucker","Los Angeles Dodgers","Cincinnati Reds",0.158221121278266,0.00565845050057908,0.181609977289565,0.114429095077021,0.0282836044531335,0.00824912618299484,0.0273589327455903,0.47618969247285,6,0.836794910786699,"Brock Burke | Luis Mey | Emilio Pagán | Tony Santillan | Graham Ashcraft | Julian Garcia","availability_weighted_active_relievers"
"824464","away",4,"606192","Teoscar Hernández","Los Angeles Dodgers","Cincinnati Reds",0.0976232711447641,0.0086034743065481,0.296823569188785,0.150922908009478,0.033298245830021,0.00365647520049226,0.0315135533919312,0.377558502927981,6,0.836794910786699,"Brock Burke | Luis Mey | Emilio Pagán | Tony Santillan | Graham Ashcraft | Julian Garcia","availability_weighted_active_relievers"
"824464","away",5,"571970","Max Muncy","Los Angeles Dodgers","Cincinnati Reds",0.139920901244432,0.0113682802204672,0.267719087044519,0.105064578004105,0.0357671095015489,0.00247602467275197,0.0532677075475909,0.384416311764585,6,0.836794910786699,"Brock Burke | Luis Mey | Emilio Pagán | Tony Santillan | Graham Ashcraft | Julian Garcia","availability_weighted_active_relievers"
"824464","away",6,"800543","Josue De Paula","Los Angeles Dodgers","Cincinnati Reds",0.0997605610200572,0.0124835428627466,0.229479285221637,0.1351753661552,0.037193100135855,0.00411672202123184,0.0316857150834172,0.450105707499854,6,0.836794910786699,"Brock Burke | Luis Mey | Emilio Pagán | Tony Santillan | Graham Ashcraft | Julian Garcia","availability_weighted_active_relievers"
"824464","away",7,"676439","Hunter Feduccia","Los Angeles Dodgers","Cincinnati Reds",0.138422925277332,0.00665317359561973,0.255554486473382,0.136289051401855,0.0305811153669481,0.00687962505109798,0.018309759085997,0.407309863747768,6,0.836794910786699,"Brock Burke | Luis Mey | Emilio Pagán | Tony Santillan | Graham Ashcraft | Julian Garcia","availability_weighted_active_relievers"
"824464","away",8,"690976","Alex Freeland","Los Angeles Dodgers","Cincinnati Reds",0.146445499765608,0.00602312276131168,0.261880370543806,0.139031406019674,0.0297183682023869,0.00122362421135507,0.0202021420055871,0.39547546649027,6,0.836794910786699,"Brock Burke | Luis Mey | Emilio Pagán | Tony Santillan | Graham Ashcraft | Julian Garcia","availability_weighted_active_relievers"
