"current_game_id","team","opponent","role","player_id","player_name","games","plate_appearances","hits","doubles","triples","home_runs","runs_batted_in","walks","strikeouts","innings_outs","report_date","source_through","generated_at_utc","method"
"823166","Minnesota Twins","San Francisco Giants","Hitter","686797","Brooks Lee",1,4,1,0,0,1,1,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Hitter","691181","Emmanuel Rodriguez",1,3,1,0,0,1,1,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Hitter","702176","Alan Roden",1,3,1,0,0,0,0,1,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Hitter","805805","Walker Jenkins",1,4,1,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Hitter","665019","Kody Clemens",1,4,0,0,0,0,0,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Hitter","668952","Ryan Kreidler",1,3,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Hitter","680777","Ryan Jeffers",1,4,0,0,0,0,0,0,3,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Hitter","693306","Aaron Sabato",1,3,0,0,0,0,0,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Hitter","807712","Luke Keaschall",1,4,0,0,0,0,0,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Pitcher","805673","Zebby Matthews",1,,,,,,,0,9,15,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Pitcher","701519","Travis Adams",1,,,,,,,0,3,5,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","Minnesota Twins","San Francisco Giants","Pitcher","573124","Taylor Rogers",1,,,,,,,0,1,4,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","687551","Drew Gilbert",1,4,3,0,0,1,3,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","695391","Brett Harris",1,4,2,0,0,0,2,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","668800","Andrew Knizner",1,2,1,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","678545","Osleivis Basabe",1,3,1,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","683766","Christian Koss",1,3,1,1,0,0,0,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","813841","Jonah Cox",1,4,1,1,0,0,0,0,3,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","815589","Bo Davidson",1,4,1,0,0,0,0,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","691785","Marcelo Mayer",1,4,0,0,0,0,0,0,4,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","701852","Drew Cavanaugh",1,2,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Hitter","814154","Scott Bandura",1,3,0,0,0,0,0,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Pitcher","694918","Blade Tidwell",1,,,,,,,0,4,10,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Pitcher","656529","Sam Hentges",1,,,,,,,1,2,3,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Pitcher","663941","Tristan Beck",1,,,,,,,0,1,8,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Pitcher","805345","Trent Harris",1,,,,,,,0,1,3,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"823166","San Francisco Giants","Minnesota Twins","Pitcher","671345","Jason Foley",1,,,,,,,0,0,3,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","680664","Eduardo Valencia",1,4,3,2,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","701678","Hao-Yu Lee",1,5,3,2,0,0,1,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","693307","Dillon Dingler",1,4,2,1,0,0,0,1,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
