"game_id","driver_order","driver_label","advantage_team","driver_detail"
"823270",3,"Available bullpen","San Diego Padres","3.8 vs 3.1 FIP blend with active reliever selector"
"823270",4,"Park and weather","Run environment","70 F temperature adjustment; park factor 1"
"823107",1,"Posted-lineup offense","Minnesota Twins","105 vs 97 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"823107",2,"Probable starter","Minnesota Twins","Taj Bradley 3.77 over 5.9 expected IP vs George Kirby 3.78 over 6 expected IP"
"823107",3,"Available bullpen","Seattle Mariners","3.97 vs 3.51 FIP blend with active reliever selector"
"823107",4,"Park and weather","Run environment","60 F temperature adjustment; park factor 1"
"823919",1,"Posted-lineup offense","Los Angeles Dodgers","99 vs 112 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"823919",2,"Probable starter","Boston Red Sox","Jake Bennett 3.4 over 6.1 expected IP vs Emmet Sheehan 4.44 over 4.9 expected IP"
"823919",3,"Available bullpen","Los Angeles Dodgers","3.44 vs 3.42 FIP blend with active reliever selector"
"823919",4,"Park and weather","Run environment","70 F temperature adjustment; park factor 1"
