"lineup_spot","player","team","sims","avg_PA","avg_starter_PA","avg_bullpen_PA","avg_H","avg_BB","avg_K","avg_HR","avg_XBH","avg_TB","p_1_plus_H","p_2_plus_H","p_1_plus_BB","p_2_plus_K","p_1_plus_HR","p_1_plus_XBH","p_2_plus_TB","p_3_plus_TB","H_p10","H_p90","TB_p10","TB_p90","player_id","game_id","game_date","opponent","opposing_starter_id","opposing_starter","opposing_starter_hand","expected_team_runs","model_version","publication_status"
8,"Josh Smith","Texas Rangers",2000,3.698,2.428,1.27,0.6825,0.3125,0.7495,0.024,0.2705,1.0185,0.531,0.137,0.277,0.1685,0.024,0.246,0.2935,0.1165,0,2,0,3,"669701","822868","2026-07-27","Seattle Mariners",669923,"George Kirby","R",4.00284269650798,"starter_bullpen_player_sim_v1","development_uncalibrated"
9,"Elias Díaz","Texas Rangers",2000,3.5635,2.2745,1.289,0.7115,0.265,0.781,0.0875,0.2685,1.169,0.543,0.15,0.245,0.169,0.085,0.244,0.302,0.156,0,2,0,4,"553869","822868","2026-07-27","Seattle Mariners",669923,"George Kirby","R",4.00284269650798,"starter_bullpen_player_sim_v1","development_uncalibrated"
1,"Dylan Beavers","Baltimore Orioles",2000,4.445,3.293,1.152,0.9385,0.3685,0.9765,0.046,0.3695,1.4295,0.6505,0.2315,0.32,0.261,0.045,0.3215,0.4045,0.197,0,2,0,4,"687637","824245","2026-07-27","Detroit Tigers",672456,"Keider Montero","R",3.99401026795557,"starter_bullpen_player_sim_v1","development_uncalibrated"
2,"Pete Alonso","Baltimore Orioles",2000,4.306,3.166,1.14,0.904,0.4315,0.988,0.2015,0.3705,1.69,0.636,0.2185,0.3675,0.2635,0.1845,0.317,0.39,0.251,0,2,0,4,"624413","824245","2026-07-27","Detroit Tigers",672456,"Keider Montero","R",3.99401026795557,"starter_bullpen_player_sim_v1","development_uncalibrated"
3,"Gunnar Henderson","Baltimore Orioles",2000,4.1865,3.0695,1.117,0.8175,0.266,0.917,0.1445,0.3445,1.4665,0.59,0.191,0.2425,0.228,0.137,0.3045,0.365,0.215,0,2,0,4,"683002","824245","2026-07-27","Detroit Tigers",672456,"Keider Montero","R",3.99401026795557,"starter_bullpen_player_sim_v1","development_uncalibrated"
4,"Taylor Ward","Baltimore Orioles",2000,4.091,3.005,1.086,0.8605,0.5405,0.776,0.0605,0.278,1.2725,0.6155,0.202,0.4485,0.1745,0.0595,0.254,0.339,0.1645,0,2,0,3,"621493","824245","2026-07-27","Detroit Tigers",672456,"Keider Montero","R",3.99401026795557,"starter_bullpen_player_sim_v1","development_uncalibrated"
5,"Leody Taveras","Baltimore Orioles",2000,4.005,2.939,1.066,0.794,0.354,0.9275,0.048,0.3305,1.2375,0.5945,0.174,0.313,0.225,0.0475,0.293,0.35,0.1545,0,2,0,3,"665750","824245","2026-07-27","Detroit Tigers",672456,"Keider Montero","R",3.99401026795557,"starter_bullpen_player_sim_v1","development_uncalibrated"
6,"Jackson Holliday","Baltimore Orioles",2000,3.924,2.859,1.065,0.7985,0.4535,0.9,0.1125,0.2955,1.3345,0.5835,0.1875,0.3785,0.2195,0.105,0.2605,0.325,0.183,0,2,0,4,"702616","824245","2026-07-27","Detroit Tigers",672456,"Keider Montero","R",3.99401026795557,"starter_bullpen_player_sim_v1","development_uncalibrated"
7,"Coby Mayo","Baltimore Orioles",2000,3.826,2.7465,1.0795,0.711,0.2315,1.122,0.173,0.281,1.3455,0.5435,0.149,0.212,0.317,0.1625,0.2535,0.3055,0.1995,0,2,0,4,"691723","824245","2026-07-27","Detroit Tigers",672456,"Keider Montero","R",3.99401026795557,"starter_bullpen_player_sim_v1","development_uncalibrated"
8,"Jeremiah Jackson","Baltimore Orioles",2000,3.7135,2.6105,1.103,0.837,0.134,0.7385,0.116,0.284,1.372,0.6045,0.1985,0.129,0.1625,0.112,0.256,0.3345,0.196,0,2,0,4,"669236","824245","2026-07-27","Detroit Tigers",672456,"Keider Montero","R",3.99401026795557,"starter_bullpen_player_sim_v1","development_uncalibrated"
