"player_id","player_name","team","hand","first_game","last_game","pa","ab","hits","singles","doubles","triples","home_runs","walks","intentional_walks","hit_by_pitch","strikeouts","sacrifice_flies","total_bases","batted_balls","hard_hit","barrel_proxy","ground_balls","line_drives","fly_balls","popups","pulled_batted_balls","average_exit_velocity","average_launch_angle","run_value_total","run_value_opportunities","batting_average","on_base_percentage","slugging_percentage","ops","isolated_power","strikeout_rate","walk_rate","hard_hit_rate","barrel_proxy_rate","ground_ball_rate","line_drive_rate","fly_ball_rate","pull_rate","woba_estimate","run_value_per_pa","pa_reliability","bbe_reliability","sample_label","perspective","woba_method","summary_method","discipline_pitches","swing_rate","zone_rate","source_through","generated_at_utc"
"645261","Sandy Alcantara","Miami Marlins","R",2026-03-27,2026-09-03,811,748,181,127,32,3,19,51,0,7,142,3,276,608,213,30,260,144,149,55,247,87.5715702479339,12.801652892562,-14.6622480264859,811,0.241978609625668,0.295426452410383,0.368983957219251,0.664410409629634,0.127005347593583,0.175092478421702,0.06288532675709,0.350328947368421,0.0493421052631579,0.427631578947368,0.236842105263158,0.245065789473684,0.40625,0.28991347342398,-0.0180792207478248,0.89,0.924,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2961,0.509962850388382,0.511313745356299,"2026-09-07","2026-09-08 14:11:03 UTC"
"650911","Cristopher Sánchez","Philadelphia Phillies","L",2026-03-26,2026-09-04,752,701,175,132,29,0,14,42,0,5,207,1,246,497,204,32,291,111,79,16,256,88.7129292929293,1.94969818913481,-31.7569547262955,752,0.249643366619116,0.296395193591455,0.3509272467903,0.647322440381755,0.101283880171184,0.275265957446808,0.0558510638297872,0.41046277665996,0.0643863179074447,0.585513078470825,0.223340040241449,0.158953722334004,0.515090543259557,0.284165554072096,-0.0422299929870951,0.883,0.909,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2781,0.504135203164329,0.464940668824164,"2026-09-07","2026-09-08 14:11:03 UTC"
"666200","Jesús Luzardo","Philadelphia Phillies","L",2026-03-29,2026-09-07,730,660,141,96,29,1,15,52,0,11,221,3,217,443,147,26,221,98,99,25,208,86.5104545454546,8.75227272727273,-23.5164853403912,730,0.213636363636364,0.28099173553719,0.328787878787879,0.609779614325069,0.115151515151515,0.302739726027397,0.0712328767123288,0.331828442437923,0.0586907449209932,0.498871331828442,0.221218961625282,0.223476297968397,0.469525959367946,0.269903581267218,-0.0322143634799879,0.88,0.899,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2860,0.462937062937063,0.465384615384615,"2026-09-07","2026-09-08 14:11:03 UTC"
"608379","Michael Wacha","Kansas City Royals","R",2026-03-28,2026-09-03,712,658,151,86,37,4,24,44,1,6,143,2,268,519,189,37,199,122,156,42,226,87.2163776493256,16.0520231213873,-18.7273745028781,712,0.229483282674772,0.283098591549296,0.407294832826748,0.690393424376043,0.177811550151976,0.200842696629213,0.0617977528089888,0.364161849710983,0.0712909441233141,0.383429672447013,0.235067437379576,0.300578034682081,0.435452793834297,0.2962341325811,-0.0263024922793232,0.877,0.912,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2633,0.488796050132928,0.501329282187619,"2026-09-07","2026-09-08 14:11:03 UTC"
"593958","Eduardo Rodriguez","Arizona Diamondbacks","L",2026-03-28,2026-09-06,711,650,151,100,32,4,15,57,0,1,128,0,236,524,173,35,212,128,149,35,229,86.3908396946565,14.4847328244275,-35.7787922586588,711,0.232307692307692,0.295197740112994,0.363076923076923,0.658274663189917,0.130769230769231,0.180028129395218,0.080168776371308,0.330152671755725,0.066793893129771,0.404580152671756,0.244274809160305,0.284351145038168,0.437022900763359,0.288305084745763,-0.0503217893933316,0.877,0.913,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2773,0.481428056256762,0.463757663180671,"2026-09-07","2026-09-08 14:11:03 UTC"
"669358","Shane Baz","Baltimore Orioles","R",2026-03-29,2026-09-04,696,622,162,107,41,2,12,56,0,4,145,12,243,489,202,31,189,137,131,32,211,89.7831622176591,13.9344262295082,-3.31140502897844,696,0.260450160771704,0.319884726224784,0.390675241157556,0.71055996738234,0.130225080385852,0.208333333333333,0.0804597701149425,0.413087934560327,0.0633946830265849,0.386503067484663,0.280163599182004,0.267893660531697,0.431492842535787,0.308011527377522,-0.00475776584623339,0.874,0.907,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2651,0.484722746133534,0.495662014334214,"2026-09-07","2026-09-08 14:11:03 UTC"
"664285","Framber Valdez","Detroit Tigers","L",2026-03-27,2026-09-05,688,610,157,114,26,2,15,58,0,14,119,4,232,497,212,26,275,108,94,20,259,89.1165656565657,5.51515151515152,0.51738808427825,688,0.257377049180328,0.333819241982507,0.380327868852459,0.714147110834966,0.122950819672131,0.17296511627907,0.0843023255813953,0.426559356136821,0.0523138832997988,0.553319919517103,0.217303822937626,0.189134808853119,0.52112676056338,0.314766763848397,0.000752017564357922,0.873,0.909,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2501,0.468212714914034,0.476209516193523,"2026-09-07","2026-09-08 14:11:03 UTC"
"650633","Michael King","San Diego Padres","R",2026-03-27,2026-09-06,688,606,130,92,19,1,18,66,0,12,144,1,205,463,153,38,210,92,125,36,212,86.3028322440087,13.645652173913,-26.4855478373931,688,0.214521452145215,0.303649635036496,0.338283828382838,0.641933463419335,0.123762376237624,0.209302325581395,0.0959302325581395,0.330453563714903,0.08207343412527,0.453563714902808,0.198704103671706,0.269978401727862,0.457883369330454,0.286773722627737,-0.0384964358101644,0.873,0.903,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2700,0.464444444444444,0.468518518518519,"2026-09-07","2026-09-08 14:11:03 UTC"
"607625","Seth Lugo","Kansas City Royals","R",2026-03-29,2026-09-05,686,617,178,112,43,5,18,51,0,7,119,8,285,508,218,41,209,128,149,22,213,88.8600790513834,13.2826086956522,17.1764489167384,686,0.288492706645057,0.345534407027818,0.461912479740681,0.807446886768499,0.173419773095624,0.173469387755102,0.0743440233236152,0.429133858267717,0.0807086614173228,0.411417322834646,0.251968503937008,0.293307086614173,0.419291338582677,0.345666178623719,0.0250385552722135,0.873,0.91,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2615,0.461185468451243,0.516634799235182,"2026-09-07","2026-09-08 14:11:03 UTC"
"676440","Tanner Bibee","Cleveland Guardians","R",2026-03-26,2026-09-03,686,623,146,96,23,1,26,51,0,6,132,5,249,495,194,39,187,122,139,47,203,88.7331300813008,16.9735772357724,-10.7382116136182,686,0.234349919743178,0.296350364963504,0.399678972712681,0.696029337676184,0.165329052969502,0.192419825072886,0.0743440233236152,0.391919191919192,0.0787878787878788,0.377777777777778,0.246464646464646,0.280808080808081,0.41010101010101,0.301211678832117,-0.0156533696991518,0.873,0.908,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2621,0.46699732926364,0.49561236169401,"2026-09-07","2026-09-08 14:11:03 UTC"
"592332","Kevin Gausman","Chicago Cubs","R",2026-03-27,2026-09-03,685,629,160,110,26,3,21,44,1,1,165,5,255,473,186,38,190,123,117,43,190,87.5510593220339,14.478813559322,2.92196338936905,685,0.254372019077901,0.301914580265096,0.405405405405405,0.707319985670501,0.151033386327504,0.240875912408759,0.0642335766423358,0.39323467230444,0.080338266384778,0.40169133192389,0.260042283298097,0.247357293868922,0.40169133192389,0.304306784660767,0.00426563998448036,0.873,0.904,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2714,0.496315401621223,0.460574797347089,"2026-09-07","2026-09-08 14:11:03 UTC"
"669022","MacKenzie Gore","Texas Rangers","L",2026-03-29,2026-09-06,683,608,147,92,34,3,18,62,1,7,170,4,241,444,183,35,177,120,115,32,194,88.2997742663657,15.2866817155756,2.17457381470028,683,0.241776315789474,0.317180616740088,0.396381578947368,0.713562195687456,0.154605263157895,0.248901903367496,0.0907759882869693,0.412162162162162,0.0788288288288288,0.398648648648649,0.27027027027027,0.259009009009009,0.436936936936937,0.310455882352941,0.00318385624407068,0.872,0.899,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2715,0.492817679558011,0.467771639042357,"2026-09-07","2026-09-08 14:11:03 UTC"
"668909","Gavin Williams","Cleveland Guardians","R",2026-03-27,2026-09-06,682,622,132,79,25,1,27,53,0,4,228,0,240,396,183,46,174,94,102,26,187,89.6038461538461,10.8769230769231,-7.87826758125262,682,0.212218649517685,0.278350515463918,0.385852090032154,0.664202605496072,0.173633440514469,0.334310850439883,0.0777126099706745,0.462121212121212,0.116161616161616,0.439393939393939,0.237373737373737,0.257575757575758,0.472222222222222,0.288365243004418,-0.0115517119959716,0.872,0.888,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2715,0.4902394106814,0.481031307550645,"2026-09-07","2026-09-08 14:11:03 UTC"
"693645","Cam Schlittler","New York Yankees","R",2026-03-27,2026-09-02,677,621,119,77,25,2,15,42,0,6,210,3,193,418,166,32,185,89,111,32,160,87.7944711538462,12.2392344497608,-33.5857328811728,677,0.191626409017713,0.248511904761905,0.310789049919485,0.559300954681389,0.119162640901771,0.310192023633678,0.0620384047267356,0.397129186602871,0.076555023923445,0.442583732057416,0.212918660287081,0.26555023923445,0.382775119617225,0.246026785714286,-0.0496096497506245,0.871,0.893,"strong","pitcher","fixed_linear_weights_v1","sabrhood_player_summary_v1",2683,0.520685799478196,0.495713753261275,"2026-09-07","2026-09-08 14:11:03 UTC"
