"team","fielding_runs","range_runs","arm_runs","double_play_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","innings","players","official_fielding_rank","source","model_version","source_through","generated_at_utc"
"Chicago Cubs",61.4473411116153,51.3620786666728,11.7643503508026,0.372231671436159,-0.188709374594087,0.584824575935325,-1.28767336964605,0.514139419116638,4748.88888888889,18,1,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Toronto Blue Jays",41.8124264180552,12.5140001337772,1.94516604081228,-1.70035738632792,28.2856579592928,19.4805258543293,6.18810454682716,2.61702755813633,5106,22,2,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"St. Louis Cardinals",33.2404593344856,19.6680678321316,-4.4082692745579,10.6318207565191,1.23668694276794,4.685021504803,-2.29529711154862,-1.15303745048643,4910.88888888889,21,3,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Arizona Diamondbacks",28.2879037075303,29.5787380299129,-4.55965628381685,3.44883785378884,1.74040555494079,0.506907648246812,-0.600355547448718,1.83385345414271,4631.44444444444,22,4,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"San Diego Padres",26.1208170113988,5.6121630248161,8.9760822784652,3.80108009360475,5.40076621900005,-3.82764438373383,8.17713457957097,1.05127602316291,4622.88888888889,21,5,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Boston Red Sox",24.0606640011032,12.5524704258605,4.79504427081278,1.98682018264904,5.35954248333017,0.602063299644829,0.593943808211993,4.16353537547335,4975,20,6,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Los Angeles Dodgers",16.9955983722458,16.2713445488876,2.54825376688364,-0.0866144297345413,-5.41302785476753,-4.54781061293043,0.295825125706651,-1.16104236754375,4688.88888888889,20,7,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Kansas City Royals",14.479747145962,16.2480729537735,0.83519085359078,-0.9235440988651,-3.27138403993498,-2.5737011420161,2.86251665797061,-3.5601995558895,4470.88888888889,19,8,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"New York Yankees",10.0103294743081,-1.24250148947441,0.22187158358807,-0.309614692689622,10.9228066131434,10.8071193779994,-1.60938721950771,1.72507445465172,5369.44444444444,21,9,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"New York Mets",7.17016981546817,-10.5707719017042,10.1180509234163,-3.53349296864133,9.05370242059129,6.29715771757166,2.62661644112308,0.129928261896552,5060.66666666667,24,10,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
