"pitch_type","pitch_name","pitches_rolling","date","all_pitches_rolling","usage_rate_rolling","season_usage_rate","rolling_days","trend_method","source_through","generated_at_utc"
"SI","Sinker",82,2026-03-25,258,0.317829457364341,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",50,2026-03-25,258,0.193798449612403,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",31,2026-03-25,258,0.12015503875969,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",29,2026-03-25,258,0.112403100775194,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",19,2026-03-25,258,0.0736434108527132,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",19,2026-03-25,258,0.0736434108527132,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",15,2026-03-25,258,0.0581395348837209,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",11,2026-03-25,258,0.0426356589147287,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",2,2026-03-25,258,0.00775193798449612,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",1170,2026-03-26,3555,0.329113924050633,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",632,2026-03-26,3555,0.177777777777778,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",402,2026-03-26,3555,0.113080168776371,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",339,2026-03-26,3555,0.0953586497890295,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",279,2026-03-26,3555,0.0784810126582278,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",272,2026-03-26,3555,0.0765119549929676,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",184,2026-03-26,3555,0.0517580872011252,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",137,2026-03-26,3555,0.0385372714486639,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",122,2026-03-26,3555,0.0343178621659634,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",11,2026-03-26,3555,0.00309423347398031,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",6,2026-03-26,3555,0.00168776371308017,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",1,2026-03-26,3555,0.000281293952180028,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",1893,2026-03-27,5801,0.326323047750388,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",967,2026-03-27,5801,0.166695397345285,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",764,2026-03-27,5801,0.131701430787795,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",603,2026-03-27,5801,0.1039475952422,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",424,2026-03-27,5801,0.0730908464057921,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",405,2026-03-27,5801,0.0698155490432684,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",308,2026-03-27,5801,0.0530942940872263,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",238,2026-03-27,5801,0.0410274090674022,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",180,2026-03-27,5801,0.0310291329081193,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",11,2026-03-27,5801,0.00189622478882951,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",6,2026-03-27,5801,0.00103430443027064,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",2,2026-03-27,5801,0.000344768143423548,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",3401,2026-03-28,10560,0.322064393939394,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",1814,2026-03-28,10560,0.171780303030303,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",1436,2026-03-28,10560,0.135984848484848,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",1051,2026-03-28,10560,0.0995265151515152,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",810,2026-03-28,10560,0.0767045454545455,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",728,2026-03-28,10560,0.0689393939393939,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",598,2026-03-28,10560,0.0566287878787879,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",403,2026-03-28,10560,0.0381628787878788,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",288,2026-03-28,10560,0.0272727272727273,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",23,2026-03-28,10560,0.0021780303030303,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",6,2026-03-28,10560,0.000568181818181818,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",2,2026-03-28,10560,0.000189393939393939,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",4545,2026-03-29,14207,0.319912719082143,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",2423,2026-03-29,14207,0.170549729006828,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",1880,2026-03-29,14207,0.132329133525727,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",1472,2026-03-29,14207,0.103610896037165,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",1177,2026-03-29,14207,0.0828464841275428,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",954,2026-03-29,14207,0.0671499964806082,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",879,2026-03-29,14207,0.0618709087069754,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",503,2026-03-29,14207,0.0354050820018301,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",323,2026-03-29,14207,0.0227352713451116,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",42,2026-03-29,14207,0.00295628915323432,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",7,2026-03-29,14207,0.000492714858872387,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",2,2026-03-29,14207,0.000140775673963539,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",5682,2026-03-30,18540,0.306472491909385,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",3227,2026-03-30,18540,0.174056094929881,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",2477,2026-03-30,18540,0.133603020496224,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",1964,2026-03-30,18540,0.105933117583603,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",1451,2026-03-30,18540,0.0782632146709817,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",1352,2026-03-30,18540,0.0729234088457389,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",1156,2026-03-30,18540,0.0623516720604099,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",655,2026-03-30,18540,0.0353290183387271,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",393,2026-03-30,18540,0.0211974110032362,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",122,2026-03-30,18540,0.00658036677454153,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"EP","Eephus",23,2026-03-30,18540,0.00124056094929881,0.00133882650341659,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FO","Forkball",18,2026-03-30,18540,0.000970873786407767,0.000688131864605599,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FA","Fastball",11,2026-03-30,18540,0.000593311758360302,0.00113559584910302,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",7,2026-03-30,18540,0.000377562028047465,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",2,2026-03-30,18540,0.000107874865156419,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",6797,2026-03-31,22535,0.301619702684713,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",3888,2026-03-31,22535,0.172531617483914,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",2931,2026-03-31,22535,0.130064344353228,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",2335,2026-03-31,22535,0.103616596405591,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",1849,2026-03-31,22535,0.0820501442201021,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",1744,2026-03-31,22535,0.0773907255380519,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",1452,2026-03-31,22535,0.0644331040603506,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",837,2026-03-31,22535,0.0371422232083426,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",494,2026-03-31,22535,0.0219214555136454,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",131,2026-03-31,22535,0.0058131794985578,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FO","Forkball",33,2026-03-31,22535,0.00146438872864433,0.000688131864605599,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"EP","Eephus",23,2026-03-31,22535,0.00102063456844908,0.00133882650341659,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FA","Fastball",11,2026-03-31,22535,0.000488129576214777,0.00113559584910302,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",7,2026-03-31,22535,0.000310627912136676,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",3,2026-03-31,22535,0.000133126248058576,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",8235,2026-04-01,26960,0.305452522255193,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",4557,2026-04-01,26960,0.169028189910979,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",3454,2026-04-01,26960,0.128115727002967,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",2870,2026-04-01,26960,0.106454005934718,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",2184,2026-04-01,26960,0.0810089020771513,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",2055,2026-04-01,26960,0.0762240356083086,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",1756,2026-04-01,26960,0.06513353115727,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",1040,2026-04-01,26960,0.0385756676557863,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",591,2026-04-01,26960,0.0219213649851632,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",139,2026-04-01,26960,0.00515578635014837,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FO","Forkball",33,2026-04-01,26960,0.00122403560830861,0.000688131864605599,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"EP","Eephus",23,2026-04-01,26960,0.000853115727002967,0.00133882650341659,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FA","Fastball",11,2026-04-01,26960,0.000408011869436202,0.00113559584910302,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",9,2026-04-01,26960,0.000333827893175074,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",3,2026-04-01,26960,0.000111275964391691,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",8586,2026-04-02,27880,0.307962697274032,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",4655,2026-04-02,27880,0.166965566714491,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",3618,2026-04-02,27880,0.129770444763271,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",2937,2026-04-02,27880,0.105344332855093,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",2242,2026-04-02,27880,0.080416068866571,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",2128,2026-04-02,27880,0.0763271162123386,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",1803,2026-04-02,27880,0.0646700143472023,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",1066,2026-04-02,27880,0.0382352941176471,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",607,2026-04-02,27880,0.0217718794835007,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",139,2026-04-02,27880,0.00498565279770445,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"EP","Eephus",43,2026-04-02,27880,0.00154232424677188,0.00133882650341659,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FO","Forkball",33,2026-04-02,27880,0.00118364418938307,0.000688131864605599,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FA","Fastball",11,2026-04-02,27880,0.00039454806312769,0.00113559584910302,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",9,2026-04-02,27880,0.000322812051649928,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",3,2026-04-02,27880,0.000107604017216643,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",9861,2026-04-03,32022,0.307944538130036,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",5342,2026-04-03,32022,0.166822809318593,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",4250,2026-04-03,32022,0.13272125413778,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",3433,2026-04-03,32022,0.107207544812941,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",2639,2026-04-03,32022,0.0824120916869652,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",2341,2026-04-03,32022,0.0731059896321279,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",2027,2026-04-03,32022,0.0633002310911249,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",1204,2026-04-03,32022,0.0375991505839735,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",681,2026-04-03,32022,0.0212666291924302,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",145,2026-04-03,32022,0.00452813690587721,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"EP","Eephus",43,2026-04-03,32022,0.00134282680657048,0.00133882650341659,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FO","Forkball",33,2026-04-03,32022,0.00103054150271688,0.000688131864605599,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FA","Fastball",11,2026-04-03,32022,0.000343513834238961,0.00113559584910302,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",9,2026-04-03,32022,0.000281056773468241,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",3,2026-04-03,32022,9.36855911560802e-05,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",11087,2026-04-04,36623,0.302733255058297,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",6296,2026-04-04,36623,0.171913824645714,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",4885,2026-04-04,36623,0.133386123474319,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",3921,2026-04-04,36623,0.107063866968845,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",3003,2026-04-04,36623,0.081997651748901,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",2719,2026-04-04,36623,0.0742429620730142,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",2328,2026-04-04,36623,0.0635666111460012,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",1301,2026-04-04,36623,0.0355241241842558,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",777,2026-04-04,36623,0.021216175627338,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",196,2026-04-04,36623,0.00535182808617535,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"EP","Eephus",52,2026-04-04,36623,0.00141987275755673,0.00133882650341659,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FO","Forkball",33,2026-04-04,36623,0.000901073096141769,0.000688131864605599,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CS","Slow Curve",11,2026-04-04,36623,0.000300357698713923,0.000249581505297367,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FA","Fastball",11,2026-04-04,36623,0.000300357698713923,0.00113559584910302,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"UN","Unknown",3,2026-04-04,36623,8.19157360128881e-05,1.78272503783834e-05,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FF","Four-Seam Fastball",12610,2026-04-05,41651,0.302753835442126,0.305928095568324,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SI","Sinker",7039,2026-04-05,41651,0.16899954382848,0.166419165007247,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SL","Slider",5533,2026-04-05,41651,0.132841948572663,0.13341201093167,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CH","Changeup",4596,2026-04-05,41651,0.110345489904204,0.111687723620572,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"ST","Sweeper",3361,2026-04-05,41651,0.0806943410722432,0.0826471327541854,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FC","Cutter",3167,2026-04-05,41651,0.0760365897577489,0.0791030753789628,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"CU","Curveball",2671,2026-04-05,41651,0.064128112170176,0.0639516952823747,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FS","Splitter",1468,2026-04-05,41651,0.0352452522148328,0.0324919465396416,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"KC","Knuckle Curve",827,2026-04-05,41651,0.0198554656550863,0.0161728815432694,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"SV","Slurve",226,2026-04-05,41651,0.00542604019111186,0.0043801554179688,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
"FO","Forkball",76,2026-04-05,41651,0.00182468608196682,0.000688131864605599,14,"calendar_day_rolling_pitch_usage_v1","2026-08-19","2026-08-20 10:30:00 UTC"
