"game_id","forecast_hour","forecast_time_local","temperature_f","apparent_temperature_f","wind_mph","wind_gust_mph","wind_direction","precipitation_probability","precipitation_in","conditions","forecast_timezone","forecast_method"
"823597",3,"2026-07-27 00:00:00 EDT",70.2,72.2,3.3,11,196,2,0,"Clear","America/New_York","open_meteo_first_pitch_plus_four_hours_v1"
"823597",4,"2026-07-27 00:00:00 EDT",69.7,71.3,4.5,7.4,180,2,0,"Clear","America/New_York","open_meteo_first_pitch_plus_four_hours_v1"
"824570",0,"2026-07-27 00:00:00 CDT",78.4,86.2,8.1,15.7,208,0,0,"Partly cloudy","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"824570",1,"2026-07-27 00:00:00 CDT",77.3,85.6,5.6,15.9,187,1,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"824570",2,"2026-07-27 00:00:00 CDT",76.4,83.3,7.6,14.1,212,1,0,"Partly cloudy","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"824570",3,"2026-07-27 00:00:00 CDT",76.2,84.1,5.6,13.9,230,1,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"824570",4,"2026-07-27 00:00:00 CDT",76.4,85,5,11,216,1,0,"Cloudy","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"823025",0,"2026-07-27 00:00:00 CDT",83.8,96.2,2.2,3.4,96,1,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"823025",1,"2026-07-27 00:00:00 CDT",84.3,97.1,1.6,1.8,82,1,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"823025",2,"2026-07-27 00:00:00 CDT",83.7,96.1,2.7,4.7,246,1,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"823025",3,"2026-07-27 00:00:00 CDT",83.7,93.5,5.4,7.6,228,1,0,"Partly cloudy","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"823025",4,"2026-07-27 00:00:00 CDT",82.1,89.5,7.4,13.6,226,1,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"824001",0,"2026-07-27 00:00:00 PDT",72.6,76.8,2.7,7.4,189,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"824001",1,"2026-07-27 00:00:00 PDT",72.2,75.7,3.5,6.3,235,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"824001",2,"2026-07-27 00:00:00 PDT",70.2,74.9,1.4,3.4,162,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"824001",3,"2026-07-27 00:00:00 PDT",70.1,75.2,1.3,2.7,211,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"824001",4,"2026-07-27 00:00:00 PDT",69.4,73.8,2.7,4,222,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"824977",0,"2026-07-27 00:00:00 PDT",65.9,63.5,6,13.6,167,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"824977",1,"2026-07-27 00:00:00 PDT",64.5,61.1,6.7,11.9,165,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"824977",2,"2026-07-27 00:00:00 PDT",62.5,60,6.7,11.4,166,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"824977",3,"2026-07-27 00:00:00 PDT",62.1,60,6.3,12.3,174,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"824977",4,"2026-07-27 00:00:00 PDT",60.8,59,6,10.3,165,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"823195",0,"2026-07-27 00:00:00 PDT",58.5,57.4,5.2,16.3,263,0,0,"Partly cloudy","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"823195",1,"2026-07-27 00:00:00 PDT",56.6,55.5,4.2,17.9,245,0,0,"Partly cloudy","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"823195",2,"2026-07-27 00:00:00 PDT",56.8,55.2,6.8,15.9,278,0,0,"Partly cloudy","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"823195",3,"2026-07-27 00:00:00 PDT",56,54.7,4.9,17,275,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
"823195",4,"2026-07-27 00:00:00 PDT",55.4,52.2,9,18.6,279,0,0,"Clear","America/Los_Angeles","open_meteo_first_pitch_plus_four_hours_v1"
