"event","observations","mean_probability","observed_rate","brier_score","calibration_bias","calibration_status"
"BB",2192,0.0819734285855422,0.0798357664233577,0.0731141055925152,0.00213766216218456,"accumulating outcomes"
"HBP",2192,0.0102832470448948,0.010492700729927,0.0104485761333688,-0.000209453685032215,"accumulating outcomes"
"K",2192,0.218535039161695,0.220346715328467,0.167477703240048,-0.00181167616677189,"accumulating outcomes"
"X1B",2192,0.140502122801646,0.145529197080292,0.124724079255631,-0.00502707427864588,"accumulating outcomes"
"X2B",2192,0.0430834740732687,0.0383211678832117,0.0370038399117808,0.00476230619005701,"accumulating outcomes"
"X3B",2192,0.00367675260665153,0.00501824817518248,0.00501397884401803,-0.00134149556853096,"accumulating outcomes"
"HR",2192,0.0326740727057428,0.0269160583941606,0.0263717559872923,0.00575801431158223,"accumulating outcomes"
"OUT",2192,0.469271863020559,0.473540145985401,0.246900191231451,-0.00426828296484283,"accumulating outcomes"
