"estimate","standard_error","z_value","p_value","term","training_rows","observed_hook_rate","method","source_through","generated_at_utc"
-3.08362062844942,0.207365870849775,-14.8704346371604,5.12793451678364e-50,"(Intercept)",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
2.08751808644234,0.0540595727036858,38.6151421855396,0,"pitches_over_60",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
1.19403916695894,0.100192825021054,11.9174119175503,9.60459474488691e-33,"bf_over_18",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
-0.203733044262639,0.0708844750392998,-2.87415607084183,0.00405108721071852,"third_time",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
-0.0373282375520671,0.0332092503967736,-1.12403131977028,0.260999739390647,"late_inning",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
0.102421283854161,0.0266805662197971,3.83879723580093,0.00012363847792069,"close_game",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
-0.0467819074705702,0.0362976351497508,-1.28884174623402,0.197453109508303,"trailing_badly",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
-0.787310149658307,0.0270200088054148,-29.1380419350762,1.1842066573677e-186,"adverse_result",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
-1.41300594319142,0.208640066751129,-6.77245730024085,1.26613180557779e-11,"starter_flag",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
1.39486442218561,0.206118620069187,6.76728973693596,1.31217141431952e-11,"reliever_flag",113140,0.0879883330387131,"sabrhood_pooled_hook_logit_v1","2026-07-22","2026-07-23 18:38:16 UTC"
