"batter_id","player_name","team","pitches","swings","whiffs","out_of_zone_pitches","chases","zone_swings","zone_contact","swing_rate","whiff_rate","chase_rate","zone_contact_rate","discipline_score","discipline_method","discipline_rank"
"695578","James Wood","Washington Nationals",1432,532,160,792,175,357,297,0.371508379888268,0.300751879699248,0.220959595959596,0.831932773109244,47.9,"pitch_level_chase_contact_profile_v1",187
"545341","Randal Grichuk","Chicago White Sox",344,167,36,172,56,111,97,0.48546511627907,0.215568862275449,0.325581395348837,0.873873873873874,47.7,"pitch_level_chase_contact_profile_v1",188
"676914","Davis Schneider","Toronto Blue Jays",423,155,43,225,44,111,88,0.366430260047281,0.27741935483871,0.195555555555556,0.792792792792793,47.7,"pitch_level_chase_contact_profile_v1",189
"664983","Jake McCarthy","Colorado Rockies",683,366,73,356,120,246,215,0.535871156661786,0.199453551912568,0.337078651685393,0.873983739837398,47.5,"pitch_level_chase_contact_profile_v1",190
"702222","Justin Crawford","Philadelphia Phillies",793,415,71,404,153,262,231,0.523329129886507,0.171084337349398,0.378712871287129,0.881679389312977,47.4,"pitch_level_chase_contact_profile_v1",191
"702284","Cole Young","Seattle Mariners",1129,542,101,582,184,358,304,0.480070859167405,0.186346863468635,0.316151202749141,0.849162011173184,47.4,"pitch_level_chase_contact_profile_v1",192
"687859","Troy Johnston","Colorado Rockies",909,462,97,472,166,296,262,0.508250825082508,0.20995670995671,0.351694915254237,0.885135135135135,47.2,"pitch_level_chase_contact_profile_v1",193
"642201","Eli White","Atlanta Braves",335,164,38,177,46,118,97,0.48955223880597,0.231707317073171,0.259887005649718,0.822033898305085,47.1,"pitch_level_chase_contact_profile_v1",194
"678218","Brandon Valenzuela","Toronto Blue Jays",593,298,73,303,92,206,179,0.502529510961214,0.24496644295302,0.303630363036304,0.868932038834951,47.1,"pitch_level_chase_contact_profile_v1",195
"656555","Rhys Hoskins","Cleveland Guardians",837,341,93,446,91,250,195,0.407407407407407,0.272727272727273,0.204035874439462,0.78,46.3,"pitch_level_chase_contact_profile_v1",196
"814439","Ryan Waldschmidt","Arizona Diamondbacks",469,205,62,223,54,151,127,0.437100213219616,0.302439024390244,0.242152466367713,0.841059602649007,46.3,"pitch_level_chase_contact_profile_v1",197
"656811","Ryan O'Hearn","Pittsburgh Pirates",939,426,93,499,161,265,230,0.453674121405751,0.21830985915493,0.322645290581162,0.867924528301887,46.2,"pitch_level_chase_contact_profile_v1",198
"683002","Gunnar Henderson","Baltimore Orioles",1298,637,140,680,222,415,362,0.49075500770416,0.21978021978022,0.326470588235294,0.872289156626506,46.1,"pitch_level_chase_contact_profile_v1",199
"624424","Michael Conforto","Chicago Cubs",469,201,57,248,63,138,116,0.428571428571429,0.283582089552239,0.254032258064516,0.840579710144927,45.9,"pitch_level_chase_contact_profile_v1",200
"672820","Lenyn Sosa","Toronto Blue Jays",439,246,47,260,130,116,105,0.560364464692483,0.191056910569106,0.5,0.905172413793103,45.7,"pitch_level_chase_contact_profile_v1",201
"677587","Brayan Rocchio","Cleveland Guardians",1015,491,102,549,175,311,266,0.483743842364532,0.207739307535642,0.318761384335155,0.855305466237942,45.7,"pitch_level_chase_contact_profile_v1",202
"623168","Tyler Heineman","Toronto Blue Jays",319,180,36,163,73,107,97,0.564263322884012,0.2,0.447852760736196,0.906542056074766,45.6,"pitch_level_chase_contact_profile_v1",203
"676439","Hunter Feduccia","Tampa Bay Rays",387,177,41,198,52,123,100,0.457364341085271,0.231638418079096,0.262626262626263,0.813008130081301,45.5,"pitch_level_chase_contact_profile_v1",204
"673357","Luis Robert Jr.","New York Mets",378,176,44,209,67,109,96,0.465608465608466,0.25,0.320574162679426,0.880733944954128,45.4,"pitch_level_chase_contact_profile_v1",205
"660271","Shohei Ohtani","Los Angeles Dodgers",1198,522,128,665,189,333,283,0.435726210350584,0.245210727969349,0.284210526315789,0.84984984984985,45.3,"pitch_level_chase_contact_profile_v1",206
"663604","Brandon Lockridge","Milwaukee Brewers",413,181,41,208,62,119,101,0.438256658595642,0.226519337016575,0.298076923076923,0.848739495798319,45.3,"pitch_level_chase_contact_profile_v1",207
"669016","Brandon Marsh","Philadelphia Phillies",911,489,102,469,177,312,278,0.536772777167947,0.208588957055215,0.377398720682303,0.891025641025641,45.3,"pitch_level_chase_contact_profile_v1",208
"679529","Spencer Torkelson","Detroit Tigers",1170,498,146,601,134,364,295,0.425641025641026,0.293172690763052,0.222961730449251,0.81043956043956,45.3,"pitch_level_chase_contact_profile_v1",209
"681624","Andy Pages","Los Angeles Dodgers",1203,596,131,644,220,376,331,0.495428096425603,0.219798657718121,0.341614906832298,0.88031914893617,45.1,"pitch_level_chase_contact_profile_v1",210
"695734","Daylen Lile","Washington Nationals",1073,585,122,568,204,380,335,0.54520037278658,0.208547008547009,0.359154929577465,0.881578947368421,45,"pitch_level_chase_contact_profile_v1",211
