"challenge_type","season","player_id","player_name","team","challenge_opportunities","reasonable_opportunities","challenges","overturns","failed_challenges","expected_challenges","expected_overturns","overturns_vs_expected","challenge_runs","runs_vs_expected","strikeout_flips","walk_flips","challenge_rate","expected_challenge_rate","overturn_rate","reliability","source","model_version","source_through","generated_at_utc"
"catcher",2026,"543510","James McCann","AZ",1121,88,35,23,12,28.7354022675277,17.2782475752897,5.17890711694829,1.80168484062434,0.267021622430389,7,2,0.0312221231043711,0.025633721915725,0.657142857142857,0.777777777777778,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
"catcher",2026,"691620","Jeferson Quero","MIL",54,7,2,2,0,1.59314789815796,1.32433185982934,0.944484178499279,0.376284694350569,0.266573690884392,1,0,0.037037037037037,0.0295027388547771,1,0.166666666666667,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
"catcher",2026,"686948","Drake Baldwin","ATL",2557,139,44,30,14,52.4950981991608,28.7753696716836,10.9443588557936,2.88621122954945,0.266120409700082,7,7,0.0172076652326946,0.0205299562765588,0.681818181818182,0.814814814814815,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
"catcher",2026,"643376","Danny Jansen","TEX",1883,130,18,13,5,45.3399371499537,27.5546170367628,-1.76929692357177,1.20237898561466,0.218979399311276,5,1,0.00955921402018056,0.0240785646043302,0.722222222222222,0.642857142857143,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
"catcher",2026,"663728","Cal Raleigh","SEA",2620,156,47,30,17,54.1750118328599,28.751592056389,9.67182772008178,3.33922376429441,0.205113588428169,10,4,0.0179389312977099,0.0206774854323893,0.638297872340426,0.824561403508772,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
"catcher",2026,"693307","Dillon Dingler","DET",3818,254,80,55,25,82.9881880945933,43.5422003273907,25.9037874398119,3.30328563097772,0.170016348278863,14,4,0.0209533787323206,0.0217360366931884,0.6875,0.888888888888889,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
"catcher",2026,"518595","Travis d'Arnaud","LAA",720,49,10,8,2,16.1952211525007,9.82301973742746,2.54918167764582,0.387801054217264,0.0846101754401877,1,0,0.0138888888888889,0.0224933627118066,0.8,0.5,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
"catcher",2026,"657136","Connor Wong","BOS",1901,160,34,21,13,53.0997987618272,32.2386914342746,-3.37758410672199,1.96002327086865,0.0797552669597366,12,1,0.01788532351394,0.0279325611582468,0.617647058823529,0.772727272727273,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
"catcher",2026,"680664","Eduardo Valencia","DET",103,8,1,1,0,1.79511739028298,0.983295029398558,0.828527331485867,0.110697330203118,0.0705189103684303,0,0,0.00970873786407767,0.0174283241775047,1,0.0909090909090909,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
"catcher",2026,"695670","Harry Ford","WSH",388,33,12,9,3,10.9005957996628,8.05629252920904,0.788010741244715,0.765963049502244,0.0596215794929522,4,1,0.0309278350515464,0.0280943190712958,0.75,0.545454545454545,"Baseball Savant ABS Challenge Leaderboard","savant_abs_contract_v1","2026-08-01","2026-08-02 11:23:24 UTC"
