"runner_id","runner_name","opportunity_type","opportunities","attempts","successes","observed_rate","observed_success_rate","league_rate","league_success_rate","shrunk_rate","shrunk_success_rate","reliability","profile_status"
"457705","Andrew McCutchen","double_first_scores",1,1,0,0,0,0.411671924290221,0.411671924290221,0.400236593059937,0.390004980906525,0.0277777777777778,"league-shrunk"
"457705","Andrew McCutchen","first_to_second_on_out",4,4,0,0,0,0.249195916655013,0.249195916655013,0.223637361100653,0.203887568172284,0.102564102564103,"league-shrunk"
"457705","Andrew McCutchen","ground_ball_double_play",7,7,2,0.285714285714286,0.285714285714286,0.205969432663839,0.205969432663839,0.21926024150558,0.228297991517964,0.166666666666667,"league-shrunk"
"457705","Andrew McCutchen","second_to_third_on_out",3,3,3,1,1,0.47702727439136,0.47702727439136,0.518314594834147,0.551737663764023,0.0789473684210526,"league-shrunk"
"457705","Andrew McCutchen","single_first_to_third",5,5,1,0.2,0.2,0.348118279569892,0.348118279569892,0.329603494623656,0.315918653576438,0.125,"league-shrunk"
"457705","Andrew McCutchen","single_second_scores",2,2,1,0.5,0.5,0.615318168730204,0.615318168730204,0.609084754204247,0.603786351857184,0.0540540540540541,"league-shrunk"
"457705","Andrew McCutchen","steal_second",21,0,0,0,,0.0658241825654868,0.880242311276794,0.0411401141034292,0.880242311276794,0.375,"league-shrunk"
"457705","Andrew McCutchen","steal_third",9,0,0,0,,0.0134683705392651,0.854330708661417,0.0107134765653245,0.854330708661417,0.204545454545455,"league-shrunk"
"467793","Carlos Santana","ground_ball_double_play",2,2,1,0.5,0.5,0.205969432663839,0.205969432663839,0.221862976844172,0.235372489397455,0.0540540540540541,"league-shrunk"
"467793","Carlos Santana","steal_second",1,0,0,0,,0.0658241825654868,0.880242311276794,0.0639957330497788,0.880242311276794,0.0277777777777778,"league-shrunk"
"500743","Miguel Rojas","double_first_scores",2,2,0,0,0,0.411671924290221,0.411671924290221,0.389419387842101,0.370504731861199,0.0540540540540541,"league-shrunk"
"500743","Miguel Rojas","first_to_second_on_out",14,14,4,0.285714285714286,0.285714285714286,0.249195916655013,0.249195916655013,0.259629736386234,0.265172703118445,0.285714285714286,"league-shrunk"
"500743","Miguel Rojas","ground_ball_double_play",27,27,9,0.333333333333333,0.333333333333333,0.205969432663839,0.205969432663839,0.261434357148942,0.282387773065536,0.435483870967742,"player signal"
"500743","Miguel Rojas","sac_fly_scores",1,1,0,0,0,0.598560575769692,0.598560575769692,0.581933893109423,0.567057387571287,0.0277777777777778,"league-shrunk"
