"player_id","opponent_hand","player_name","team","hand","first_game","last_game","pa","ab","hits","singles","doubles","triples","home_runs","walks","intentional_walks","hit_by_pitch","strikeouts","sacrifice_flies","total_bases","batted_balls","hard_hit","barrel_proxy","ground_balls","line_drives","fly_balls","popups","pulled_batted_balls","average_exit_velocity","average_launch_angle","run_value_total","run_value_opportunities","batting_average","on_base_percentage","slugging_percentage","ops","isolated_power","strikeout_rate","walk_rate","hard_hit_rate","barrel_proxy_rate","ground_ball_rate","line_drive_rate","fly_ball_rate","pull_rate","woba_estimate","run_value_per_pa","pa_reliability","bbe_reliability","sample_label","perspective","woba_method","summary_method","source_through","generated_at_utc"
"668227","R","Randy Arozarena","Seattle Mariners","R",2026-03-26,2026-07-30,331,281,82,54,16,1,11,34,0,15,70,1,133,211,92,17,110,49,46,6,84,91.7166666666667,7.36492890995261,22.1967633555326,331,0.291814946619217,0.395770392749245,0.473309608540925,0.86908000129017,0.181494661921708,0.211480362537764,0.102719033232628,0.436018957345972,0.0805687203791469,0.52132701421801,0.232227488151659,0.218009478672986,0.398104265402844,0.378519637462236,0.0670597080227571,0.768,0.808,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"665489","R","Vladimir Guerrero Jr.","Toronto Blue Jays","R",2026-03-27,2026-07-28,331,300,78,60,14,0,4,24,0,3,45,4,104,259,110,17,127,72,43,17,126,89.5552123552124,7.53281853281853,2.87571837629075,331,0.26,0.317220543806647,0.346666666666667,0.663887210473313,0.0866666666666667,0.13595166163142,0.0725075528700906,0.424710424710425,0.0656370656370656,0.49034749034749,0.277992277992278,0.166023166023166,0.486486486486487,0.292809667673716,0.00868797092534969,0.768,0.838,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"642715","R","Willy Adames","San Francisco Giants","R",2026-03-25,2026-07-30,331,308,74,40,19,0,15,20,0,2,92,1,138,217,85,18,72,46,72,27,115,87.587962962963,23.1203703703704,-0.65314376743777,331,0.24025974025974,0.290030211480363,0.448051948051948,0.738082159532311,0.207792207792208,0.277945619335347,0.0604229607250755,0.391705069124424,0.0829493087557604,0.331797235023041,0.211981566820276,0.331797235023041,0.529953917050691,0.314652567975831,-0.00197324401038601,0.768,0.813,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"664023","R","Ian Happ","Chicago Cubs","L",2026-03-26,2026-07-30,329,277,67,34,17,2,14,47,0,4,99,1,130,179,79,21,65,42,63,9,89,90.1814606741573,15.1179775280899,9.22726653215039,329,0.24187725631769,0.358662613981763,0.469314079422383,0.827976693404146,0.227436823104693,0.300911854103343,0.142857142857143,0.441340782122905,0.11731843575419,0.363128491620112,0.23463687150838,0.35195530726257,0.497206703910615,0.357355623100304,0.0280464028332839,0.767,0.782,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"805300","R","Jakob Marsee","Miami Marlins","L",2026-03-27,2026-07-30,329,284,58,41,11,1,5,39,0,3,68,0,86,216,70,8,76,55,55,30,94,85.4378504672897,18.6869158878505,-9.37764712401046,329,0.204225352112676,0.306748466257669,0.302816901408451,0.609565367666119,0.0985915492957746,0.206686930091185,0.11854103343465,0.324074074074074,0.037037037037037,0.351851851851852,0.25462962962963,0.25462962962963,0.435185185185185,0.277300613496932,-0.0285034866991199,0.767,0.812,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"701807","R","Carson Benge","New York Mets","L",2026-03-26,2026-07-30,328,300,78,56,12,2,8,24,0,3,68,1,118,233,98,16,105,58,62,8,85,89.6307359307359,11.3160173160173,-2.61553585414131,328,0.26,0.320121951219512,0.393333333333333,0.713455284552845,0.133333333333333,0.207317073170732,0.0731707317073171,0.420600858369099,0.0686695278969957,0.450643776824034,0.248927038626609,0.266094420600858,0.36480686695279,0.311219512195122,-0.00797419467726009,0.766,0.823,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"669394","R","Jake Burger","Texas Rangers","R",2026-03-26,2026-07-30,327,303,71,46,11,0,14,22,0,2,85,0,124,218,102,20,98,45,59,16,113,90.2537037037037,13.5046296296296,4.45008752285345,327,0.234323432343234,0.290519877675841,0.409240924092409,0.69976080176825,0.174917491749175,0.259938837920489,0.0672782874617737,0.467889908256881,0.0917431192660551,0.44954128440367,0.206422018348624,0.270642201834862,0.518348623853211,0.302385321100917,0.0136088303451176,0.766,0.813,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"672960","R","Kazuma Okamoto","Toronto Blue Jays","R",2026-03-27,2026-07-29,327,292,67,37,11,0,19,29,0,4,104,2,135,190,84,25,71,39,62,18,98,90.3763157894737,18.5157894736842,2.13496644559458,327,0.229452054794521,0.305810397553517,0.462328767123288,0.768139164676805,0.232876712328767,0.318042813455657,0.0886850152905199,0.442105263157895,0.131578947368421,0.373684210526316,0.205263157894737,0.326315789473684,0.515789473684211,0.328073394495413,0.00652894937490696,0.766,0.792,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"695734","R","Daylen Lile","Washington Nationals","L",2026-03-26,2026-07-30,325,301,76,42,18,4,12,18,0,3,57,3,138,246,92,24,80,54,99,13,110,89.1302040816327,19.9387755102041,0.838771623112999,325,0.252491694352159,0.298461538461538,0.458471760797342,0.756933299258881,0.205980066445183,0.175384615384615,0.0553846153846154,0.373983739837398,0.0975609756097561,0.32520325203252,0.219512195121951,0.402439024390244,0.447154471544715,0.320676923076923,0.00258083576342461,0.765,0.831,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"691718","R","Pete Crow-Armstrong","Chicago Cubs","L",2026-03-26,2026-07-30,325,284,82,40,19,4,19,32,2,5,87,3,166,201,105,28,59,44,79,19,97,90.173631840796,20.407960199005,21.2057029445913,325,0.288732394366197,0.367283950617284,0.584507042253521,0.951790992870805,0.295774647887324,0.267692307692308,0.0984615384615385,0.522388059701492,0.139303482587065,0.293532338308458,0.218905472636816,0.393034825870647,0.482587064676617,0.395931677018634,0.0652483167525888,0.765,0.801,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
