"metric_id","metric_label","game_id","player_id","player_name","team","opponent","role","probability","expected_value","simulations","model_version","publication_status","metric_rank"
"batter_hit_1plus","1+ hit","823831","683083","Nasim Nuñez","Washington Nationals","Miami Marlins","hitter",0.6075,0.8165,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",30
"batter_hit_1plus","1+ hit","823509","671277","Luis García Jr.","New York Yankees","Toronto Blue Jays","hitter",0.6065,0.8475,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",31
"batter_hit_1plus","1+ hit","823743","621566","Matt Olson","Atlanta Braves","Milwaukee Brewers","hitter",0.6065,0.8385,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",32
"batter_hit_1plus","1+ hit","823743","687401","Joey Ortiz","Milwaukee Brewers","Atlanta Braves","hitter",0.588,0.7785,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",33
"batter_hit_1plus","1+ hit","823743","592885","Christian Yelich","Milwaukee Brewers","Atlanta Braves","hitter",0.5835,0.7875,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",34
"batter_hit_1plus","1+ hit","823509","700250","Ben Rice","New York Yankees","Toronto Blue Jays","hitter",0.5825,0.789,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",35
"batter_hit_1plus","1+ hit","823509","672960","Kazuma Okamoto","Toronto Blue Jays","New York Yankees","hitter",0.579,0.784,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",36
"batter_hit_1plus","1+ hit","823743","806198","Cooper Pratt","Milwaukee Brewers","Atlanta Braves","hitter",0.578,0.772,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",37
"batter_hit_1plus","1+ hit","823831","695670","Harry Ford","Washington Nationals","Miami Marlins","hitter",0.5755,0.782,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",38
"batter_hit_1plus","1+ hit","823831","687605","Andrew Pinckney","Washington Nationals","Miami Marlins","hitter",0.5745,0.764,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",39
"batter_hit_1plus","1+ hit","823509","663662","Daz Cameron","Toronto Blue Jays","New York Yankees","hitter",0.5705,0.7835,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",40
"batter_hit_1plus","1+ hit","823831","805300","Jakob Marsee","Miami Marlins","Washington Nationals","hitter",0.5705,0.7755,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",41
"batter_hit_1plus","1+ hit","823509","807727","Charles McAdoo","Toronto Blue Jays","New York Yankees","hitter",0.5685,0.75,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",42
"batter_hit_1plus","1+ hit","823743","660670","Ronald Acuña Jr.","Atlanta Braves","Milwaukee Brewers","hitter",0.5675,0.792,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",43
"batter_hit_1plus","1+ hit","823743","800325","Luis Lara","Milwaukee Brewers","Atlanta Braves","hitter",0.562,0.744,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",44
"batter_hit_1plus","1+ hit","823509","682987","Spencer Jones","New York Yankees","Toronto Blue Jays","hitter",0.5565,0.733,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",45
"batter_hit_1plus","1+ hit","823743","805347","Jim Jarvis","Atlanta Braves","Milwaukee Brewers","hitter",0.555,0.7525,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",46
"batter_hit_1plus","1+ hit","823743","573262","Mike Yastrzemski","Atlanta Braves","Milwaukee Brewers","hitter",0.5475,0.719,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",47
"batter_hit_1plus","1+ hit","823509","664702","Myles Straw","Toronto Blue Jays","New York Yankees","hitter",0.54,0.7085,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",48
"batter_hit_1plus","1+ hit","823509","806146","George Lombard Jr.","New York Yankees","Toronto Blue Jays","hitter",0.538,0.733,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",49
"batter_hit_1plus","1+ hit","823509","663757","Trent Grisham","New York Yankees","Toronto Blue Jays","hitter",0.532,0.705,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",50
"batter_hit_1plus","1+ hit","823509","676609","José Caballero","New York Yankees","Toronto Blue Jays","hitter",0.507,0.6505,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",51
"batter_hit_1plus","1+ hit","823743","663586","Austin Riley","Atlanta Braves","Milwaukee Brewers","hitter",0.505,0.6525,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",52
"batter_hit_1plus","1+ hit","823509","665862","Jazz Chisholm Jr.","New York Yankees","Toronto Blue Jays","hitter",0.503,0.65,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",53
"batter_hit_1plus","1+ hit","823509","669224","Austin Wells","New York Yankees","Toronto Blue Jays","hitter",0.4005,0.4815,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",54
"batter_hit_2plus","2+ hits","823831","672640","Otto Lopez","Miami Marlins","Washington Nationals","hitter",0.3745,1.2795,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",1
"batter_hit_2plus","2+ hits","823831","669364","Xavier Edwards","Miami Marlins","Washington Nationals","hitter",0.333,1.1795,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",2
"batter_hit_2plus","2+ hits","823831","665052","Griffin Conine","Miami Marlins","Washington Nationals","hitter",0.3065,1.113,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",3
"batter_hit_2plus","2+ hits","823743","694192","Jackson Chourio","Milwaukee Brewers","Atlanta Braves","hitter",0.2855,1.0445,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",4
"batter_hit_2plus","2+ hits","823831","683357","Owen Caissie","Miami Marlins","Washington Nationals","hitter",0.2675,1.009,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",5
"batter_hit_2plus","2+ hits","823509","676391","Ernie Clement","Toronto Blue Jays","New York Yankees","hitter",0.2655,0.9935,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",6
"batter_hit_2plus","2+ hits","823831","691594","Javier Sanoja","Miami Marlins","Washington Nationals","hitter",0.2645,0.978,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",7
"batter_hit_2plus","2+ hits","823743","661388","William Contreras","Milwaukee Brewers","Atlanta Braves","hitter",0.2575,0.9815,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",8
"batter_hit_2plus","2+ hits","823743","683734","Andrew Vaughn","Milwaukee Brewers","Atlanta Braves","hitter",0.2555,0.9535,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",9
"batter_hit_2plus","2+ hits","823509","703520","Brett Bateman","Toronto Blue Jays","New York Yankees","hitter",0.25,0.951,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",10
"batter_hit_2plus","2+ hits","823831","695734","Daylen Lile","Washington Nationals","Miami Marlins","hitter",0.2465,0.967,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",11
"batter_hit_2plus","2+ hits","823743","671739","Michael Harris II","Atlanta Braves","Milwaukee Brewers","hitter",0.2405,0.965,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",12
"batter_hit_2plus","2+ hits","823509","665489","Vladimir Guerrero Jr.","Toronto Blue Jays","New York Yankees","hitter",0.2375,0.9325,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",13
"batter_hit_2plus","2+ hits","823743","686948","Drake Baldwin","Atlanta Braves","Milwaukee Brewers","hitter",0.226,0.9115,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",14
"batter_hit_2plus","2+ hits","823743","668930","Brice Turang","Milwaukee Brewers","Atlanta Braves","hitter",0.221,0.912,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",15
"batter_hit_2plus","2+ hits","823831","691781","Brady House","Washington Nationals","Miami Marlins","hitter",0.2205,0.906,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",16
"batter_hit_2plus","2+ hits","823831","691788","Joe Mack","Miami Marlins","Washington Nationals","hitter",0.219,0.922,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",17
"batter_hit_2plus","2+ hits","823831","681715","Heriberto Hernández","Miami Marlins","Washington Nationals","hitter",0.2155,0.905,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",18
"batter_hit_2plus","2+ hits","823831","686611","Dylan Crews","Washington Nationals","Miami Marlins","hitter",0.2115,0.8645,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",19
"batter_hit_2plus","2+ hits","823831","665923","Esteury Ruiz","Miami Marlins","Washington Nationals","hitter",0.2095,0.8765,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",20
"batter_hit_2plus","2+ hits","823509","543807","George Springer","Toronto Blue Jays","New York Yankees","hitter",0.208,0.8635,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",21
"batter_hit_2plus","2+ hits","823831","694673","Abimelec Ortiz","Washington Nationals","Miami Marlins","hitter",0.207,0.8655,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",22
"batter_hit_2plus","2+ hits","823743","641343","Jake Bauers","Milwaukee Brewers","Atlanta Braves","hitter",0.2065,0.867,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",23
"batter_hit_2plus","2+ hits","823831","677588","José Tena","Washington Nationals","Miami Marlins","hitter",0.1995,0.857,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",24
"batter_hit_2plus","2+ hits","823509","671218","Heliot Ramos","New York Yankees","Toronto Blue Jays","hitter",0.199,0.8505,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",25
"batter_hit_2plus","2+ hits","823509","671277","Luis García Jr.","New York Yankees","Toronto Blue Jays","hitter",0.1965,0.8475,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",26
"batter_hit_2plus","2+ hits","823743","621566","Matt Olson","Atlanta Braves","Milwaukee Brewers","hitter",0.195,0.8385,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",27
"batter_hit_2plus","2+ hits","823743","643289","Mauricio Dubón","Atlanta Braves","Milwaukee Brewers","hitter",0.195,0.842,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",28
"batter_hit_2plus","2+ hits","823831","696285","Jacob Young","Washington Nationals","Miami Marlins","hitter",0.1945,0.8315,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",29
"batter_hit_2plus","2+ hits","823743","645277","Ozzie Albies","Atlanta Braves","Milwaukee Brewers","hitter",0.194,0.8445,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",30
"batter_hit_2plus","2+ hits","823509","672386","Alejandro Kirk","Toronto Blue Jays","New York Yankees","hitter",0.1895,0.8275,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",31
"batter_hit_2plus","2+ hits","823743","660670","Ronald Acuña Jr.","Atlanta Braves","Milwaukee Brewers","hitter",0.1895,0.792,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",32
"batter_hit_2plus","2+ hits","823831","683083","Nasim Nuñez","Washington Nationals","Miami Marlins","hitter",0.182,0.8165,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",33
"batter_hit_2plus","2+ hits","823509","663662","Daz Cameron","Toronto Blue Jays","New York Yankees","hitter",0.18,0.7835,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",34
"batter_hit_2plus","2+ hits","823743","592885","Christian Yelich","Milwaukee Brewers","Atlanta Braves","hitter",0.1795,0.7875,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",35
"batter_hit_2plus","2+ hits","823831","695670","Harry Ford","Washington Nationals","Miami Marlins","hitter",0.1795,0.782,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",36
"batter_hit_2plus","2+ hits","823509","700250","Ben Rice","New York Yankees","Toronto Blue Jays","hitter",0.1775,0.789,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",37
"batter_hit_2plus","2+ hits","823831","805300","Jakob Marsee","Miami Marlins","Washington Nationals","hitter",0.1775,0.7755,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",38
"batter_hit_2plus","2+ hits","823509","672960","Kazuma Okamoto","Toronto Blue Jays","New York Yankees","hitter",0.1755,0.784,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",39
"batter_hit_2plus","2+ hits","823743","806198","Cooper Pratt","Milwaukee Brewers","Atlanta Braves","hitter",0.174,0.772,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",40
"batter_hit_2plus","2+ hits","823743","805347","Jim Jarvis","Atlanta Braves","Milwaukee Brewers","hitter",0.172,0.7525,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",41
"batter_hit_2plus","2+ hits","823509","806146","George Lombard Jr.","New York Yankees","Toronto Blue Jays","hitter",0.1715,0.733,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",42
"batter_hit_2plus","2+ hits","823743","687401","Joey Ortiz","Milwaukee Brewers","Atlanta Braves","hitter",0.1645,0.7785,2000,"starter_bullpen_player_sim_v1","development_uncalibrated",43
