"game_id","score_rank","away_runs","home_runs","simulations","probability"
"demo-01",1,4,5,944,0.0472
"demo-01",2,3,4,872,0.0436
"demo-01",3,5,4,864,0.0432
"demo-01",4,4,3,861,0.04305
"demo-01",5,3,5,665,0.03325
"demo-02",1,4,5,976,0.0488
"demo-02",2,3,4,890,0.0445
"demo-02",3,5,4,828,0.0414
"demo-02",4,4,3,811,0.04055
"demo-02",5,3,5,759,0.03795
"demo-03",1,4,5,934,0.0467
"demo-03",2,3,4,876,0.0438
"demo-03",3,5,4,833,0.04165
"demo-03",4,4,3,780,0.039
"demo-03",5,3,5,698,0.0349
"demo-04",1,4,5,846,0.0423
"demo-04",2,5,4,820,0.041
"demo-04",3,3,4,775,0.03875
"demo-04",4,6,5,730,0.0365
"demo-04",5,5,6,704,0.0352
"demo-05",1,4,5,887,0.04435
"demo-05",2,3,4,749,0.03745
"demo-05",3,5,4,738,0.0369
"demo-05",4,5,6,731,0.03655
"demo-05",5,3,5,689,0.03445
"demo-06",1,3,4,956,0.0478
"demo-06",2,4,5,914,0.0457
"demo-06",3,4,3,891,0.04455
"demo-06",4,5,4,847,0.04235
"demo-06",5,3,5,745,0.03725
