"game_id","team_side","batting_order","batter_id","batter_name","batter_team","pitcher_id","pitcher_name","pitcher_team","batter_hand","pitcher_hand","batter_pa","pitcher_bf","batter_split_pa","pitcher_split_bf","batter_form_confidence","pitcher_form_confidence","p_BB","p_HBP","p_K","p_1B","p_2B","p_3B","p_HR","p_OUT","p_hit","p_xbh","p_on_base","estimated_woba","probability_sum","matchup_reliability","input_status","model_version","simulation_weight","throws","pitcher_role","availability_score"
"822946","away",1,"694671","Wyatt Langford","Texas Rangers","592155","Cam Booser","Tampa Bay Rays","R","L",241,76,68,41,0.333,0,0.0465390852385253,0.00274815958155177,0.285031643122746,0.11592582116565,0.0306714038146177,0.00521084904497457,0.0675949897956568,0.446278048236278,0.219403063820899,0.103477242655249,0.268690308640976,0.318132761068628,1,36.2762866998108,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",1,"L","reliever",1
"822946","away",1,"694671","Wyatt Langford","Texas Rangers","668984","Casey Legumina","Tampa Bay Rays","R","R",241,189,173,103,0.333,0.194,0.0414047088931319,0.0135595959689652,0.152653480751464,0.202472299954056,0.0738189395779266,0.0018442044489622,0.032920157585225,0.481326612820269,0.31105560156617,0.108583301612114,0.366019906428267,0.377089742956798,1,49.6796907375735,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",1,"R","reliever",1
"822946","away",1,"694671","Wyatt Langford","Texas Rangers","688297","Chris Roycroft","Tampa Bay Rays","R","R",241,93,173,50,0.333,0.242,0.0651387969477712,0.007786909783305,0.171757621045239,0.220984159455367,0.0373796690101015,0.00309804365369548,0.0726948145776897,0.421159985526831,0.334156686696854,0.113172527241487,0.40708239342793,0.442318720232112,1,41.6105480223409,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",1,"R","reliever",1
"822946","away",1,"694671","Wyatt Langford","Texas Rangers","693855","Ian Seymour","Tampa Bay Rays","R","L",241,321,68,202,0.333,0.351,0.0661275690080794,0.00193654025744963,0.297460265436736,0.105588647443564,0.0433895494579661,0.00319396341237494,0.0384317423260378,0.443871722657792,0.190603902639943,0.0850152551963789,0.258668011905472,0.275973767677794,1,53.3540202713739,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",1,"L","reliever",1
"822946","away",1,"694671","Wyatt Langford","Texas Rangers","664076","Garrett Cleavinger","Tampa Bay Rays","R","L",241,132,68,80,0.333,0,0.0678522885845335,0.00255411773591329,0.327409906865067,0.119278888797453,0.0309764638124655,0.0194231664678081,0.049837517169818,0.382667650566941,0.219516036247544,0.100237147450092,0.289922442567991,0.322506830363516,1,42.3598575945301,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",0.938888888888889,"L","reliever",0.938888888888889
"822946","away",1,"694671","Wyatt Langford","Texas Rangers","641329","Bryan Baker","Tampa Bay Rays","R","R",241,159,173,74,0.333,0,0.0583024399239285,0.00625575664508988,0.267464462310196,0.110733295128882,0.0536576337043006,0.0023132418557456,0.0287271049051325,0.472546065526725,0.195431275594061,0.0846979804651787,0.259989472163079,0.270063731993004,1,47.0192842337106,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",0.844444444444444,"R","reliever",0.844444444444444
"822946","away",2,"677649","Ezequiel Duran","Texas Rangers","592155","Cam Booser","Tampa Bay Rays","R","L",374,76,88,41,0.324,0,0.0663702918252276,0.00254698367041753,0.284195335726242,0.132167065071896,0.0365042236526102,0.00221735182235296,0.0409313787013223,0.435067369529932,0.211820019248181,0.0796529541762855,0.280737294743826,0.294932724227141,1,40.8663896269345,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",1,"L","reliever",1
"822946","away",2,"677649","Ezequiel Duran","Texas Rangers","668984","Casey Legumina","Tampa Bay Rays","R","R",374,189,286,103,0.324,0.194,0.0436169484432566,0.0150012237591684,0.157533401200546,0.19667724937435,0.0717531970980658,0.00289654130993326,0.0255683295655071,0.486953109249173,0.296895317347856,0.100218067973506,0.355513489550281,0.358857466253643,1,55.0874871724743,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",1,"R","reliever",1
"822946","away",2,"677649","Ezequiel Duran","Texas Rangers","688297","Chris Roycroft","Tampa Bay Rays","R","R",374,93,286,50,0.324,0.242,0.0691108996426598,0.00867653561399421,0.178518498443116,0.216197627684621,0.0365940246809879,0.00490071520431997,0.0568650144649478,0.429136684265353,0.314557382034877,0.0983597543502556,0.392344817291531,0.411507924155687,1,47.0183444572417,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",1,"R","reliever",1
"822946","away",2,"677649","Ezequiel Duran","Texas Rangers","693855","Ian Seymour","Tampa Bay Rays","R","L",374,321,88,202,0.324,0.351,0.0922700329538988,0.00175603422505464,0.29018507010891,0.117782976622493,0.0505262232954461,0.00132977537289287,0.0227695356633558,0.423380351757949,0.192408510954188,0.0746255343316947,0.286434578133141,0.279073419959435,1,57.9441231984975,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",1,"L","reliever",1
"822946","away",2,"677649","Ezequiel Duran","Texas Rangers","664076","Garrett Cleavinger","Tampa Bay Rays","R","L",374,132,88,80,0.324,0,0.0958133138280858,0.00234385424658835,0.323237070262858,0.134651788326264,0.0365045313332538,0.00818373623287136,0.0298815926288169,0.369384113141262,0.209221648521206,0.0745698601949421,0.30737881659588,0.304386583886471,1,46.9499605216537,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",0.938888888888889,"L","reliever",0.938888888888889
"822946","away",2,"677649","Ezequiel Duran","Texas Rangers","641329","Bryan Baker","Tampa Bay Rays","R","R",374,159,286,74,0.324,0,0.0609247715383074,0.00686533007981776,0.273800137009615,0.10670097061477,0.0517376391791771,0.00360407101664087,0.0221326770613497,0.474234403500322,0.184175357871938,0.0774743872571677,0.251965459490063,0.255141688421351,1,52.4270806686114,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",0.844444444444444,"R","reliever",0.844444444444444
"822946","away",3,"607043","Brandon Nimmo","Texas Rangers","592155","Cam Booser","Tampa Bay Rays","L","L",433,76,110,0,0.329,0,0.0569776515492986,0.0119151394929777,0.239703372264249,0.144008288494597,0.0603851734737963,0.0030715692400976,0.0308597873533474,0.453079018131636,0.238324818561838,0.0943165300672413,0.307217609604115,0.316318209581493,1,39.122333981453,"overall_rates_with_partial_split","multinomial_log5_platoon_form_v1",1,"L","reliever",1
"822946","away",3,"607043","Brandon Nimmo","Texas Rangers","668984","Casey Legumina","Tampa Bay Rays","L","R",433,189,323,86,0.329,0.194,0.0701748752489764,0.0285345579645356,0.214756859603884,0.110297022871445,0.0657309822511769,0.00371314542402149,0.0185029325566517,0.488289624079309,0.198244083103295,0.0879470602318501,0.296953516316807,0.290516745074933,1,55.9383615317814,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1",1,"R","reliever",1
